word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,Okay,0,4,1.002,1.2425,wav2vec2_ctc_forced_alignment,-0.07887,1,24,2,2,True,271,88,92,116,-1.13052,2,True,False,True,1.1
1,what,6,10,1.3827,1.523,wav2vec2_ctc_forced_alignment,-0.07887,1,14,2,2,True,273,88,92,116,-0.0001,2,True,False,True,1.5
2,happens,11,18,1.6433,2.0841,wav2vec2_ctc_forced_alignment,-0.07887,1,44,4,4,True,274,88,94,115,-0.00063,4,True,False,True,1.9
3,at,19,21,2.2044,2.2445,wav2vec2_ctc_forced_alignment,-0.07887,1,4,0,0,True,273,87,96,115,-0.00091,0,True,True,True,2.2
4,this,22,26,2.3246,2.4849,wav2vec2_ctc_forced_alignment,-0.07887,1,16,1,1,True,278,89,93,113,-0.01032,1,True,False,True,2.4
5,point,27,32,2.6252,2.9459,wav2vec2_ctc_forced_alignment,-0.07887,1,32,3,3,True,281,92,90,117,-0.03997,3,True,False,True,2.8
6,after,33,38,3.1863,3.3867,wav2vec2_ctc_forced_alignment,-0.07887,1,20,2,2,True,276,92,92,108,-0.00789,2,True,False,True,3.3
7,we've,39,44,3.4669,3.6873,wav2vec2_ctc_forced_alignment,-0.07887,3,22,2,2,True,276,90,91,112,-0.43413,2,True,False,True,3.6
8,taken,45,50,3.7274,4.008,wav2vec2_ctc_forced_alignment,-0.07887,1,28,3,3,True,268,90,94,115,-0.01294,3,True,False,True,3.9
9,this,51,55,4.0681,4.2284,wav2vec2_ctc_forced_alignment,-0.07887,1,16,2,2,True,271,96,88,110,-0.0589,2,True,False,True,4.1
10,brief,56,61,4.4689,4.7094,wav2vec2_ctc_forced_alignment,-0.07887,1,24,3,3,True,273,95,92,113,-0.00229,3,True,False,True,4.6
11,walk,62,66,4.8697,5.1502,wav2vec2_ctc_forced_alignment,-0.07887,1,29,3,3,True,264,90,95,127,-0.0421,3,True,False,True,5.0
12,down,67,71,5.2705,5.4709,wav2vec2_ctc_forced_alignment,-0.07887,1,20,2,2,True,266,94,92,114,-0.02214,2,True,False,True,5.4
13,memory,72,78,5.5911,5.9117,wav2vec2_ctc_forced_alignment,-0.07887,1,32,4,4,True,267,93,92,116,-0.09272,4,True,False,True,5.8
14,lane,79,83,5.9719,6.3125,wav2vec2_ctc_forced_alignment,-0.07887,1,34,4,4,True,267,90,94,118,-0.00759,4,True,False,True,6.1
15,is,85,87,6.8536,6.9137,wav2vec2_ctc_forced_alignment,-0.07887,1,6,1,1,True,269,87,90,108,-0.00015,1,True,False,True,6.9
16,the,88,91,6.9939,7.0741,wav2vec2_ctc_forced_alignment,-0.07887,1,8,1,1,True,268,86,89,109,-0.05628,1,True,False,True,7.0
17,presentation,92,104,7.1342,7.8756,wav2vec2_ctc_forced_alignment,-0.07887,1,74,7,7,True,260,93,89,113,-0.01444,7,True,False,True,7.5
18,of,105,107,7.9558,7.9959,wav2vec2_ctc_forced_alignment,-0.07887,1,4,0,0,True,259,94,92,113,-0.00056,0,True,True,True,8.0
19,the,108,111,8.0961,8.1762,wav2vec2_ctc_forced_alignment,-0.07887,1,8,1,1,True,260,92,92,117,-0.00088,1,True,False,True,8.1
20,gift,112,116,8.2364,8.5971,wav2vec2_ctc_forced_alignment,-0.07887,1,36,3,3,True,258,93,95,119,-0.00738,3,True,False,True,8.4
