word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,So,0,2,0.5405,0.6406,wav2vec2_ctc_forced_alignment,-0.22335,1,10,1,1,True,206,90,108,127,-0.06627,1,True,False,True,0.6
1,very,3,7,0.7608,0.961,wav2vec2_ctc_forced_alignment,-0.22335,1,20,2,2,True,218,73,106,131,-0.01978,2,True,False,True,0.9
2,important,8,17,1.021,1.3814,wav2vec2_ctc_forced_alignment,-0.22335,1,36,3,3,True,225,72,103,121,-0.03545,3,True,False,True,1.2
3,to,18,20,1.4214,1.4615,wav2vec2_ctc_forced_alignment,-0.22335,1,4,0,0,True,228,70,104,125,-0.65883,0,True,True,True,1.4
4,go,21,23,1.6016,1.7418,wav2vec2_ctc_forced_alignment,-0.22335,1,14,1,1,True,224,72,105,128,-5e-05,1,True,False,True,1.7
5,out,24,27,1.9219,2.002,wav2vec2_ctc_forced_alignment,-0.22335,1,8,1,1,True,225,74,103,122,-0.00034,1,True,False,True,2.0
6,to,28,30,2.4625,2.5826,wav2vec2_ctc_forced_alignment,-0.22335,1,12,1,1,True,218,77,105,131,-0.22665,1,True,False,True,2.5
7,the,31,34,2.6627,2.7227,wav2vec2_ctc_forced_alignment,-0.22335,1,6,1,1,True,218,75,105,130,-0.0334,1,True,False,True,2.7
8,locations,35,44,2.7828,3.3834,wav2vec2_ctc_forced_alignment,-0.22335,1,60,6,6,True,223,71,103,126,-0.02644,6,True,False,True,3.1
9,walk,46,50,3.8038,4.0241,wav2vec2_ctc_forced_alignment,-0.22335,1,22,2,2,True,206,77,109,130,-0.00977,2,True,False,True,3.9
10,around,51,57,4.1442,4.4445,wav2vec2_ctc_forced_alignment,-0.22335,1,30,3,3,True,218,73,105,127,-0.08075,3,True,False,True,4.3
11,talk,59,63,4.7248,4.925,wav2vec2_ctc_forced_alignment,-0.22335,1,20,2,2,True,237,82,100,126,-0.00087,2,True,False,True,4.8
