word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,And,0,3,0.7608,0.8809,wav2vec2_ctc_forced_alignment,-0.12951,1,13,1,1,True,178,21,85,85,1.0
1,if,4,6,1.0411,1.0811,wav2vec2_ctc_forced_alignment,-0.12951,1,5,1,1,True,178,21,85,85,1.0
2,you,7,10,1.1812,1.2814,wav2vec2_ctc_forced_alignment,-0.12951,1,11,2,2,True,178,21,85,85,1.0
3,clip,11,15,1.4415,1.6818,wav2vec2_ctc_forced_alignment,-0.12951,1,25,1,1,True,179,22,84,84,1.5
4,coupons,16,23,1.7619,2.5427,wav2vec2_ctc_forced_alignment,-0.12951,2,79,2,2,True,179,21,86,86,2.0
5,if,25,27,2.7029,2.7429,wav2vec2_ctc_forced_alignment,-0.12951,1,5,1,1,True,179,22,84,84,2.5
6,you,28,31,2.803,2.9031,wav2vec2_ctc_forced_alignment,-0.12951,1,11,1,1,True,179,22,84,84,3.0
7,don't,32,37,3.0432,3.2835,wav2vec2_ctc_forced_alignment,-0.12951,3,25,2,2,True,179,22,84,84,3.0
8,go,38,40,3.3435,3.4436,wav2vec2_ctc_forced_alignment,-0.12951,1,11,1,1,True,177,19,87,87,3.5
9,out,41,44,3.5638,3.6639,wav2vec2_ctc_forced_alignment,-0.12951,1,11,1,1,True,177,19,87,87,3.5
10,for,45,48,3.744,3.8641,wav2vec2_ctc_forced_alignment,-0.12951,1,13,2,2,True,177,19,85,85,4.0
11,dinner,49,55,3.9442,4.3246,wav2vec2_ctc_forced_alignment,-0.12951,1,39,2,2,True,177,19,85,85,4.0
12,and,56,59,4.4647,4.5248,wav2vec2_ctc_forced_alignment,-0.12951,1,7,1,1,True,176,19,84,84,4.5
13,movies,60,66,4.6649,5.1454,wav2vec2_ctc_forced_alignment,-0.12951,1,50,2,2,True,177,18,86,86,5.0
14,and,67,70,5.2455,5.3256,wav2vec2_ctc_forced_alignment,-0.12951,1,9,2,2,True,176,19,86,86,5.5
15,things,71,77,5.3857,5.5659,wav2vec2_ctc_forced_alignment,-0.12951,1,19,1,1,True,176,19,86,86,5.5
16,of,78,80,5.6059,5.646,wav2vec2_ctc_forced_alignment,-0.12951,1,5,1,1,True,176,19,86,86,5.5
17,that,81,85,5.666,5.8061,wav2vec2_ctc_forced_alignment,-0.12951,1,15,2,2,True,176,19,86,86,5.5
18,nature,86,92,5.8862,6.2866,wav2vec2_ctc_forced_alignment,-0.12951,1,41,2,2,True,176,18,87,87,6.0
19,and,93,96,6.9473,7.0274,wav2vec2_ctc_forced_alignment,-0.12951,1,9,1,1,True,176,19,84,84,7.0
20,try,97,100,7.1676,7.3077,wav2vec2_ctc_forced_alignment,-0.12951,1,15,2,2,True,176,19,84,84,7.0
21,to,101,103,7.3878,7.4479,wav2vec2_ctc_forced_alignment,-0.12951,1,7,1,1,True,176,19,85,85,7.5
22,take,104,108,7.5079,7.6681,wav2vec2_ctc_forced_alignment,-0.12951,1,17,1,1,True,176,19,85,85,7.5
23,up,109,111,7.7482,7.8082,wav2vec2_ctc_forced_alignment,-0.12951,1,7,2,2,True,176,18,86,86,8.0
24,things,112,118,7.9684,8.2687,wav2vec2_ctc_forced_alignment,-0.12951,1,31,2,2,True,176,18,86,86,8.0
25,in,119,121,8.3688,8.4089,wav2vec2_ctc_forced_alignment,-0.12951,1,5,1,1,True,177,19,87,87,8.5
26,life,122,126,8.549,8.7893,wav2vec2_ctc_forced_alignment,-0.12951,1,25,2,2,True,177,19,87,87,8.5
27,that,127,131,8.8493,8.9895,wav2vec2_ctc_forced_alignment,-0.12951,1,15,1,1,True,177,19,87,87,9.0
28,well,133,137,9.0896,9.3298,wav2vec2_ctc_forced_alignment,-0.12951,1,25,2,2,True,177,19,87,87,9.0
29,they,139,143,9.47,9.5901,wav2vec2_ctc_forced_alignment,-0.12951,1,13,1,1,True,175,20,86,86,9.5
30,always,144,150,9.6502,9.9105,wav2vec2_ctc_forced_alignment,-0.12951,1,27,2,2,True,171,19,86,86,10.0
31,say,151,154,9.9705,10.1307,wav2vec2_ctc_forced_alignment,-0.12951,1,17,1,1,True,171,19,86,86,10.0
32,the,157,160,10.2308,10.2909,wav2vec2_ctc_forced_alignment,-0.12951,1,7,2,2,True,179,20,84,84,10.5
33,best,161,165,10.3509,10.5511,wav2vec2_ctc_forced_alignment,-0.12951,1,21,1,1,True,179,20,84,84,10.5
34,things,166,172,10.5912,10.7914,wav2vec2_ctc_forced_alignment,-0.12951,1,21,2,2,True,179,20,84,84,10.5
35,in,173,175,10.8515,10.8915,wav2vec2_ctc_forced_alignment,-0.12951,1,5,1,1,True,177,19,86,86,11.0
36,life,176,180,10.9716,11.1718,wav2vec2_ctc_forced_alignment,-0.12951,1,21,1,1,True,177,19,86,86,11.0
37,are,181,184,11.2519,11.352,wav2vec2_ctc_forced_alignment,-0.12951,1,11,1,1,True,177,20,84,84,11.5
38,free,185,189,11.4521,11.7324,wav2vec2_ctc_forced_alignment,-0.12951,1,29,1,1,True,177,20,84,84,11.5
39,Reading,192,199,12.4331,12.7134,wav2vec2_ctc_forced_alignment,-0.12951,1,29,1,1,True,173,19,87,87,12.5
40,a,200,201,12.7935,12.8135,wav2vec2_ctc_forced_alignment,-0.12951,1,3,1,1,True,174,19,87,87,13.0
41,book,202,206,12.9136,13.1739,wav2vec2_ctc_forced_alignment,-0.12951,1,27,1,1,True,174,19,87,87,13.0
42,going,208,213,14.3952,14.6154,wav2vec2_ctc_forced_alignment,-0.12951,1,23,1,1,True,174,19,85,85,14.5
43,for,214,217,14.6555,14.7556,wav2vec2_ctc_forced_alignment,-0.12951,1,11,2,2,True,174,19,85,85,14.5
44,a,218,219,14.8156,14.8357,wav2vec2_ctc_forced_alignment,-0.12951,1,3,1,1,True,175,19,87,87,15.0
45,nice,220,224,14.8957,15.0959,wav2vec2_ctc_forced_alignment,-0.12951,1,21,1,1,True,175,19,87,87,15.0
46,walk,225,229,15.196,15.4763,wav2vec2_ctc_forced_alignment,-0.12951,1,29,2,2,True,175,20,85,85,15.5
47,and,231,234,15.5564,15.6165,wav2vec2_ctc_forced_alignment,-0.12951,1,7,1,1,True,175,20,85,85,15.5
48,of,236,238,15.6365,15.6765,wav2vec2_ctc_forced_alignment,-0.12951,1,5,1,1,True,175,20,85,85,15.5
49,course,239,245,15.7166,15.9168,wav2vec2_ctc_forced_alignment,-0.12951,1,21,2,2,True,176,20,86,86,16.0
50,combining,247,256,15.9769,16.5174,wav2vec2_ctc_forced_alignment,-0.12951,1,55,2,2,True,176,20,86,86,16.0
51,exercise,257,265,16.6576,17.1781,wav2vec2_ctc_forced_alignment,-0.12951,1,53,2,2,True,175,19,87,87,17.0
52,and,266,269,17.2582,17.3383,wav2vec2_ctc_forced_alignment,-0.12951,1,9,1,1,True,175,19,87,87,17.5
53,various,270,277,17.3783,17.6386,wav2vec2_ctc_forced_alignment,-0.12951,1,27,1,1,True,175,19,87,87,17.5
54,things,278,284,17.6987,17.8589,wav2vec2_ctc_forced_alignment,-0.12951,1,17,2,2,True,176,19,87,87,18.0
55,of,285,287,17.9189,17.959,wav2vec2_ctc_forced_alignment,-0.12951,1,5,1,1,True,176,19,87,87,18.0
56,that,288,292,17.979,18.0991,wav2vec2_ctc_forced_alignment,-0.12951,1,13,1,1,True,176,19,87,87,18.0
57,nature,293,299,18.1992,18.5396,wav2vec2_ctc_forced_alignment,-0.12951,1,35,2,2,True,176,19,87,87,18.5
58,where,300,305,18.96,19.0801,wav2vec2_ctc_forced_alignment,-0.12951,1,13,1,1,True,176,18,86,86,19.0
59,you're,306,312,19.1002,19.2603,wav2vec2_ctc_forced_alignment,-0.12951,3,17,2,2,True,176,18,86,86,19.0
60,not,313,316,19.3004,19.4205,wav2vec2_ctc_forced_alignment,-0.12951,1,13,1,1,True,175,19,85,85,19.5
61,spending,317,325,19.5807,20.0612,wav2vec2_ctc_forced_alignment,-0.12951,1,49,2,2,True,176,19,87,87,20.0
62,money,326,331,20.2814,20.5817,wav2vec2_ctc_forced_alignment,-0.12951,1,31,1,1,True,176,20,86,86,20.5
63,per,332,335,20.862,21.0823,wav2vec2_ctc_forced_alignment,-0.12951,1,23,1,1,True,177,20,86,86,21.0
64,se,336,338,21.2424,21.6028,wav2vec2_ctc_forced_alignment,-0.12951,1,37,2,2,True,176,19,86,86,21.5
