word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,The,0,3,0.1402,0.4005,wav2vec2_ctc_forced_alignment,-0.49173,1,26,3,3,True,99,83,219,264,-6.62112,3,True,False,True,0.3
1,August,4,10,1.9426,2.2029,wav2vec2_ctc_forced_alignment,-0.49173,1,26,3,3,True,102,54,234,272,-0.0782,3,True,False,True,2.1
2,jobs,11,15,2.3231,2.6235,wav2vec2_ctc_forced_alignment,-0.49173,1,30,3,3,True,101,59,215,265,-0.03427,3,True,False,True,2.5
3,report,16,22,2.6836,2.984,wav2vec2_ctc_forced_alignment,-0.49173,1,30,3,3,True,97,64,208,258,-0.02336,3,True,False,True,2.8
4,is,23,25,3.0641,3.1442,wav2vec2_ctc_forced_alignment,-0.49173,1,8,1,1,True,88,66,213,260,-1.27323,1,True,False,True,3.1
5,out,26,29,3.3244,3.4246,wav2vec2_ctc_forced_alignment,-0.49173,1,10,1,1,True,91,61,211,262,-0.0022,1,True,False,True,3.4
6,and,30,33,3.8652,3.9853,wav2vec2_ctc_forced_alignment,-0.49173,1,12,1,1,True,94,63,214,268,-0.07449,1,True,False,True,3.9
7,it,34,36,4.2056,4.2457,wav2vec2_ctc_forced_alignment,-0.49173,1,4,0,0,True,95,55,210,264,-0.00517,0,True,True,True,4.2
8,was,37,40,4.3057,4.4059,wav2vec2_ctc_forced_alignment,-0.49173,1,10,1,1,True,93,52,213,259,-0.00442,1,True,False,True,4.4
9,seen,41,45,4.506,4.7463,wav2vec2_ctc_forced_alignment,-0.49173,1,24,2,2,True,94,68,212,263,-0.09012,2,True,False,True,4.6
10,overall,46,53,5.267,5.7276,wav2vec2_ctc_forced_alignment,-0.49173,1,46,5,5,True,100,69,214,267,-0.10771,5,True,False,True,5.5
11,as,54,56,6.2083,6.2483,wav2vec2_ctc_forced_alignment,-0.49173,1,4,0,0,True,92,63,216,266,-0.50765,0,True,True,True,6.2
12,solid,57,62,6.3885,6.729,wav2vec2_ctc_forced_alignment,-0.49173,1,34,4,4,True,81,75,222,269,-0.09715,4,True,False,True,6.6
13,but,63,66,6.8091,6.9292,wav2vec2_ctc_forced_alignment,-0.49173,1,12,1,1,True,98,67,212,258,-0.03463,1,True,False,True,6.9
14,not,67,70,7.0294,7.2096,wav2vec2_ctc_forced_alignment,-0.49173,1,18,2,2,True,92,67,215,270,-0.00409,2,True,False,True,7.1
15,great,71,76,7.3498,8.1308,wav2vec2_ctc_forced_alignment,-0.49173,1,79,8,8,True,94,76,218,259,-1.59651,8,True,False,True,7.7
