word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,Maybe,0,5,0.5411,0.8618,wav2vec2_ctc_forced_alignment,-0.07776,1,33,2,2,True,111,78,141,141,0.5
1,they,6,10,1.5833,1.7035,wav2vec2_ctc_forced_alignment,-0.07776,1,13,1,1,True,115,79,133,133,1.5
2,have,11,15,1.7837,1.9039,wav2vec2_ctc_forced_alignment,-0.07776,1,13,1,1,True,115,80,132,132,2.0
3,no,16,18,1.9641,2.0643,wav2vec2_ctc_forced_alignment,-0.07776,1,11,1,1,True,115,80,132,132,2.0
4,political,19,28,2.1845,2.6054,wav2vec2_ctc_forced_alignment,-0.07776,1,44,2,2,True,116,83,137,137,2.5
5,party,29,34,2.7056,2.9862,wav2vec2_ctc_forced_alignment,-0.07776,1,29,2,2,True,108,84,140,140,3.0
6,affiliation,35,46,3.0664,3.8079,wav2vec2_ctc_forced_alignment,-0.07776,1,75,3,3,True,111,84,139,139,3.5
7,they're,48,55,4.2688,4.4893,wav2vec2_ctc_forced_alignment,-0.07776,3,23,1,1,True,124,81,133,133,4.5
8,not,56,59,4.5093,4.6296,wav2vec2_ctc_forced_alignment,-0.07776,1,13,1,1,True,124,81,133,133,4.5
9,interested,60,70,4.7899,5.1707,wav2vec2_ctc_forced_alignment,-0.07776,1,39,1,1,True,107,91,138,138,5.0
10,in,71,73,5.2509,5.291,wav2vec2_ctc_forced_alignment,-0.07776,1,5,1,1,True,116,87,139,139,5.5
11,politics,74,82,5.3511,5.9323,wav2vec2_ctc_forced_alignment,-0.07776,1,59,2,2,True,116,87,139,139,5.5
12,they,84,88,6.0125,6.1327,wav2vec2_ctc_forced_alignment,-0.07776,1,13,1,1,True,107,79,136,136,6.0
13,could,89,94,6.1728,6.3131,wav2vec2_ctc_forced_alignment,-0.07776,1,15,2,2,True,107,79,136,136,6.0
14,care,95,99,6.3532,6.5335,wav2vec2_ctc_forced_alignment,-0.07776,1,19,1,1,True,106,82,140,140,6.5
15,less,100,104,6.6137,6.8542,wav2vec2_ctc_forced_alignment,-0.07776,1,25,2,2,True,106,82,140,140,6.5
16,about,105,110,6.9143,7.1348,wav2vec2_ctc_forced_alignment,-0.07776,1,23,1,1,True,97,97,147,147,7.0
17,politics,111,119,7.2149,7.8763,wav2vec2_ctc_forced_alignment,-0.07776,1,68,3,3,True,100,92,146,146,7.5
