帧序号,时间_秒,原始_MFCC1,原始_RMS,标准化_MFCC1,标准化_RMS,词序号,词语
0,0.000000,-11.6271601,0.0365817882,-0.0451361246,-0.95624504,,
1,0.010000,-9.09241295,0.0444939919,0.203861426,-0.883508723,,
2,0.020000,-9.10806465,0.0500348732,0.202323902,-0.832571802,,
3,0.030000,-7.89190149,0.0445078388,0.32179209,-0.88338143,,
4,0.040000,-7.2066412,0.0267082397,0.389107735,-1.04701186,,
5,0.050000,-11.0339165,0.020644173,0.0131403803,-1.10275838,,
6,0.060000,-17.3459072,0.0143425679,-0.60690973,-1.16068858,,
7,0.070000,-21.0270653,0.0102702146,-0.968523452,-1.19812543,,
8,0.080000,-25.371851,0.00747074699,-1.39532776,-1.22386074,,
9,0.090000,-28.0352554,0.00729548791,-1.6569638,-1.22547188,,
10,0.100000,-22.343174,0.00933199283,-1.09780966,-1.20675044,,
11,0.110000,-19.4645653,0.0116370348,-0.815033319,-1.18556035,,
12,0.120000,-11.5754557,0.128423914,-0.0400570102,-0.111947015,,
13,0.130000,-10.9433765,0.232021764,0.0220344515,0.840420526,,
14,0.140000,-12.5571747,0.290684313,-0.136494887,1.37970109,,
15,0.150000,-16.0552025,0.303692728,-0.480119048,1.49928652,,
16,0.160000,-14.9626932,0.297912955,-0.372797837,1.44615348,,
17,0.170000,-12.6743259,0.284848899,-0.148003087,1.32605656,1,Omi
18,0.180000,-12.1204023,0.245525897,-0.0935891298,0.964563041,1,Omi
19,0.190000,-12.2337685,0.18193768,-0.104725502,0.380001161,1,Omi
20,0.200000,-12.7364969,0.168225959,-0.154110372,0.253950304,1,Omi
21,0.210000,-10.8163328,0.153884113,0.0345144247,0.122106749,1,Omi
22,0.220000,-11.157711,0.153450459,0.000979584922,0.118120203,1,Omi
23,0.230000,-11.327981,0.128852189,-0.0157466613,-0.10800992,1,Omi
24,0.240000,-14.79774,0.0902417451,-0.356593873,-0.462952936,1,Omi
25,0.250000,-12.4183016,0.0543136634,-0.122852871,-0.793237193,1,Omi
26,0.260000,-7.36410332,0.0369160101,0.37363965,-0.953172562,1,Omi
27,0.270000,-8.32902622,0.0344482437,0.278851717,-0.97585856,1,Omi
28,0.280000,-8.23346138,0.0288077332,0.288239404,-1.02771137,1,Omi
29,0.290000,-9.35764027,0.0368777663,0.177807169,-0.953524135,1,Omi
30,0.300000,-11.4847822,0.0420835093,-0.0311498233,-0.905668116,1,Omi
31,0.310000,-13.5294342,0.0423402712,-0.232003523,-0.903307722,1,Omi
32,0.320000,-16.6429214,0.0391439721,-0.537852848,-0.932691068,1,Omi
33,0.330000,-15.0517893,0.0622194596,-0.381550072,-0.720559781,1,Omi
34,0.340000,-12.1604118,0.0618643612,-0.0975194103,-0.723824174,1,Omi
35,0.350000,-16.2769337,0.0458830036,-0.50190052,-0.870739639,1,Omi
36,0.360000,-8.09587097,0.0526813492,0.301755417,-0.808242939,1,Omi
