sample_id,text_token_ids_match_raw,text_content_rows,audio_observed_rows,vision_observed_rows,at_50_token_limit,av_alignment_status
01,True,22,22,22,False,unverified: separate modality axes
02,True,19,19,19,False,unverified: separate modality axes
03,True,33,33,33,False,unverified: separate modality axes
04,True,26,26,26,False,unverified: separate modality axes
05,True,15,15,15,False,unverified: separate modality axes
06,True,35,35,35,False,unverified: separate modality axes
07,True,48,48,48,True,unverified: separate modality axes
08,True,11,11,11,False,unverified: separate modality axes
09,True,18,18,18,False,unverified: separate modality axes
10,True,30,30,30,False,unverified: separate modality axes
11,True,14,14,14,False,unverified: separate modality axes
12,True,42,42,42,False,unverified: separate modality axes
13,True,30,30,0,False,unverified: separate modality axes
14,True,35,35,35,False,unverified: separate modality axes
15,True,21,21,21,False,unverified: separate modality axes
16,True,11,11,11,False,unverified: separate modality axes
17,True,24,24,24,False,unverified: separate modality axes
18,True,48,48,48,True,unverified: separate modality axes
19,True,39,39,39,False,unverified: separate modality axes
20,True,43,43,43,False,unverified: separate modality axes
