word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,How,0,3,0.1601,0.3403,wav2vec2_ctc_forced_alignment,-0.03064,1,19,2,2,True,224,22,431,431,0.5
1,at,5,7,0.8808,0.9208,wav2vec2_ctc_forced_alignment,-0.03064,1,5,1,1,True,235,31,419,419,1.0
2,a,8,9,0.9808,1.0009,wav2vec2_ctc_forced_alignment,-0.03064,1,3,1,1,True,235,31,419,419,1.0
3,particular,10,20,1.0609,1.5613,wav2vec2_ctc_forced_alignment,-0.03064,1,51,2,2,True,234,25,421,421,1.5
4,moment,21,27,1.6614,2.0017,wav2vec2_ctc_forced_alignment,-0.03064,1,35,2,2,True,233,27,424,424,2.0
5,in,28,30,2.0818,2.1418,wav2vec2_ctc_forced_alignment,-0.03064,1,7,1,1,True,233,27,424,424,2.0
6,time,31,35,2.2419,2.5222,wav2vec2_ctc_forced_alignment,-0.03064,1,29,2,2,True,233,19,425,425,2.5
7,our,36,39,2.8024,2.9425,wav2vec2_ctc_forced_alignment,-0.03064,1,15,1,1,True,235,31,435,435,3.0
8,moment,40,46,3.0626,3.4029,wav2vec2_ctc_forced_alignment,-0.03064,1,35,2,2,True,235,31,435,435,3.0
9,in,47,49,3.523,3.5631,wav2vec2_ctc_forced_alignment,-0.03064,1,5,1,1,True,242,38,421,421,3.5
10,time,50,54,3.6832,3.9634,wav2vec2_ctc_forced_alignment,-0.03064,1,29,2,2,True,236,30,426,426,4.0
11,are,55,58,4.5439,4.624,wav2vec2_ctc_forced_alignment,-0.03064,1,9,1,1,True,227,23,447,447,4.5
12,they,59,63,4.7041,4.8842,wav2vec2_ctc_forced_alignment,-0.03064,1,19,2,2,True,231,30,431,431,5.0
13,limited,64,71,5.4247,5.845,wav2vec2_ctc_forced_alignment,-0.03064,1,44,2,2,True,233,42,426,426,5.5
