word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,I've,0,4,0.0,0.3344,proportional_fallback_low_ctc_confidence,-9.42319,3,34,4,4,True,540,258,153,153,-6.5979,4,False,False,False,0.2
1,drawn,5,10,0.3344,0.8918,proportional_fallback_low_ctc_confidence,-9.42319,1,56,5,5,True,545,255,159,159,-10.39817,5,False,False,False,0.6
2,this,11,15,0.8918,1.3377,proportional_fallback_low_ctc_confidence,-9.42319,1,44,5,5,True,539,251,168,168,-4.36227,5,False,False,False,1.1
3,man,16,19,1.3377,1.6721,proportional_fallback_low_ctc_confidence,-9.42319,1,34,3,3,True,534,261,160,160,-6.32332,3,False,False,False,1.5
4,here,20,24,1.6721,2.118,proportional_fallback_low_ctc_confidence,-9.42319,1,44,5,5,True,537,258,162,162,-9.57836,5,False,False,False,1.9
5,and,26,29,2.118,2.4524,proportional_fallback_low_ctc_confidence,-9.42319,1,34,3,3,True,541,261,164,164,-10.25801,3,False,False,False,2.3
6,if,30,32,2.4524,2.6754,proportional_fallback_low_ctc_confidence,-9.42319,1,22,2,2,True,535,255,174,174,-10.35086,2,False,False,False,2.6
7,you,33,36,2.6754,3.0098,proportional_fallback_low_ctc_confidence,-9.42319,1,33,4,4,True,542,260,164,164,-9.90553,4,False,False,False,2.8
8,can,37,40,3.0098,3.3442,proportional_fallback_low_ctc_confidence,-9.42319,1,34,3,3,True,546,261,160,160,-9.12421,3,False,False,False,3.2
9,tell,41,45,3.3442,3.7901,proportional_fallback_low_ctc_confidence,-9.42319,1,45,4,4,True,539,233,153,153,-13.17663,4,False,False,False,3.6
10,he,47,49,3.7901,4.013,proportional_fallback_low_ctc_confidence,-9.42319,1,22,3,3,True,544,234,161,161,-0.00163,3,False,False,False,3.9
11,has,50,53,4.013,4.3475,proportional_fallback_low_ctc_confidence,-9.42319,1,33,3,3,True,558,246,153,153,-13.12901,3,False,False,False,4.2
12,a,54,55,4.3475,4.4589,proportional_fallback_low_ctc_confidence,-9.42319,1,11,1,1,True,565,253,153,153,-0.90796,1,False,False,False,4.4
13,lot,56,59,4.4589,4.7933,proportional_fallback_low_ctc_confidence,-9.42319,1,34,3,3,True,570,253,155,155,-10.69886,3,False,False,False,4.6
14,of,60,62,4.7933,5.0163,proportional_fallback_low_ctc_confidence,-9.42319,1,22,3,3,True,569,254,156,156,-7.0032,3,False,False,False,4.9
15,big,63,66,5.0163,5.3507,proportional_fallback_low_ctc_confidence,-9.42319,1,34,3,3,True,566,258,156,156,-9.82541,3,False,False,False,5.2
16,muscles,67,74,5.3507,6.131,proportional_fallback_low_ctc_confidence,-9.42319,1,78,8,8,True,564,261,156,156,-11.50745,8,False,False,False,5.7
17,he,76,78,6.131,6.354,proportional_fallback_low_ctc_confidence,-9.42319,1,22,2,2,True,563,261,154,154,-14.43811,2,False,False,False,6.2
18,looks,79,84,6.354,6.9113,proportional_fallback_low_ctc_confidence,-9.42319,1,56,6,6,True,561,258,159,159,-11.03952,6,False,False,False,6.6
19,very,85,89,6.9113,7.3572,proportional_fallback_low_ctc_confidence,-9.42319,1,44,4,4,True,566,256,153,153,-9.94603,4,False,False,False,7.1
20,strong,90,96,7.3572,8.0261,proportional_fallback_low_ctc_confidence,-9.42319,1,67,7,7,True,562,266,152,152,-10.34413,7,False,False,False,7.7
