word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,The,0,3,0.5005,0.5806,wav2vec2_ctc_forced_alignment,-0.56837,1,8,0,0,True,775,49,268,298,-0.00361,0,True,True,True,0.5
1,perfect,4,11,0.6407,0.9611,wav2vec2_ctc_forced_alignment,-0.56837,1,32,3,3,True,774,45,269,300,-0.07193,3,True,False,True,0.8
2,soul,12,16,1.0411,1.2213,wav2vec2_ctc_forced_alignment,-0.56837,1,18,2,2,True,776,43,269,299,-0.39304,2,True,False,True,1.1
3,mate,17,21,1.3214,1.5016,wav2vec2_ctc_forced_alignment,-0.56837,1,18,2,2,True,774,41,270,300,-1.41171,2,True,False,True,1.4
4,to,22,24,1.6018,1.6618,wav2vec2_ctc_forced_alignment,-0.56837,1,6,0,0,True,773,44,270,299,-0.00624,0,True,True,True,1.6
5,the,25,28,1.7219,1.782,wav2vec2_ctc_forced_alignment,-0.56837,1,6,0,0,True,773,39,269,302,-0.03557,0,True,True,True,1.8
6,Clarisonic,29,39,1.862,2.5027,wav2vec2_ctc_forced_alignment,-0.56837,3,64,7,7,True,769,40,273,310,-0.758,7,True,False,True,2.2
7,Spot,40,44,3.0834,3.4037,wav2vec2_ctc_forced_alignment,-0.56837,1,32,4,4,True,764,36,274,313,-0.12208,4,True,False,True,3.2
8,Therapy,45,52,3.5639,3.9643,wav2vec2_ctc_forced_alignment,-0.56837,1,40,4,4,True,768,48,273,299,-0.83596,4,True,False,True,3.8
9,Brush,53,58,4.0444,4.3247,wav2vec2_ctc_forced_alignment,-0.56837,1,28,3,3,True,764,56,275,308,-0.04819,3,True,False,True,4.2
10,this,60,64,4.9454,5.0856,wav2vec2_ctc_forced_alignment,-0.56837,1,14,1,1,True,773,34,271,306,-0.04755,1,True,False,True,5.0
11,gentle,65,71,5.1857,5.5661,wav2vec2_ctc_forced_alignment,-0.56837,1,38,4,4,True,772,37,269,302,-0.03847,4,True,False,True,5.4
12,Ph,73,75,5.8064,6.1067,wav2vec2_ctc_forced_alignment,-0.56837,1,30,3,3,True,768,40,273,305,-0.73451,3,True,False,True,6.0
13,balanced,76,84,6.1868,6.6072,wav2vec2_ctc_forced_alignment,-0.56837,1,42,5,5,True,766,47,275,297,-0.0402,5,True,False,True,6.4
14,and,85,88,6.7474,6.8275,wav2vec2_ctc_forced_alignment,-0.56837,1,8,1,1,True,765,46,275,311,-0.30466,1,True,False,True,6.8
15,hydrating,89,98,6.9076,7.4682,wav2vec2_ctc_forced_alignment,-0.56837,2,56,5,5,True,764,44,272,306,-0.02684,5,True,False,True,7.2
16,exfoliant,99,108,7.6484,8.249,wav2vec2_ctc_forced_alignment,-0.56837,3,60,6,6,True,762,47,273,301,-0.64346,6,True,False,True,7.9
17,containing,109,119,8.7696,9.1901,wav2vec2_ctc_forced_alignment,-0.56837,1,43,4,4,True,766,35,267,300,-2.23333,4,True,False,True,9.0
18,jojoba,120,126,9.3903,9.8708,wav2vec2_ctc_forced_alignment,-0.56837,3,48,5,5,True,764,41,272,302,-2.80946,5,True,False,True,9.6
19,and,127,130,10.3113,10.3914,wav2vec2_ctc_forced_alignment,-0.56837,1,8,0,0,True,756,43,278,305,-0.54187,0,True,True,True,10.4
20,acai,131,135,10.4715,10.7718,wav2vec2_ctc_forced_alignment,-0.56837,2,30,3,3,True,754,45,278,309,-0.39421,3,True,False,True,10.6
21,fruit,136,141,11.1522,11.3725,wav2vec2_ctc_forced_alignment,-0.56837,1,22,2,2,True,745,46,278,309,-0.64815,2,True,False,True,11.3
22,oils,142,146,11.4926,11.6928,wav2vec2_ctc_forced_alignment,-0.56837,1,20,2,2,True,744,49,279,306,-0.34223,2,True,False,True,11.6
23,and,147,150,12.4737,12.5738,wav2vec2_ctc_forced_alignment,-0.56837,1,10,1,1,True,757,39,275,300,-6.42278,1,True,False,True,12.5
24,bamboo,151,157,12.7139,13.1344,wav2vec2_ctc_forced_alignment,-0.56837,1,42,4,4,True,756,47,276,300,-0.06029,4,True,False,True,12.9
25,and,158,161,13.5749,13.655,wav2vec2_ctc_forced_alignment,-0.56837,1,8,1,1,True,766,49,268,295,-0.22958,1,True,False,True,13.6
26,prickly,162,169,13.7551,14.0754,wav2vec2_ctc_forced_alignment,-0.56837,2,32,3,3,True,767,51,270,296,-0.31867,3,True,False,True,13.9
27,bear,170,174,14.1555,14.3758,wav2vec2_ctc_forced_alignment,-0.56837,1,22,2,2,True,767,50,269,297,-0.93506,2,True,False,True,14.3
28,extracts,175,183,14.6561,15.8574,wav2vec2_ctc_forced_alignment,-0.56837,1,120,12,12,True,768,43,270,299,-0.03467,12,True,False,True,15.3
29,deliver,184,191,15.9575,16.2979,wav2vec2_ctc_forced_alignment,-0.56837,1,34,3,3,True,764,36,270,298,-0.00109,3,True,False,True,16.1
30,intense,192,199,16.5181,16.8785,wav2vec2_ctc_forced_alignment,-0.56837,1,36,3,3,True,759,31,274,307,-0.01963,3,True,False,True,16.7
31,healing,200,207,16.9786,17.339,wav2vec2_ctc_forced_alignment,-0.56837,1,36,4,4,True,757,50,276,307,-0.00544,4,True,False,True,17.2
32,while,209,214,17.8396,18.0398,wav2vec2_ctc_forced_alignment,-0.56837,1,20,2,2,True,758,48,276,300,-0.04969,2,True,False,True,17.9
33,smooth,215,221,18.1399,18.4002,wav2vec2_ctc_forced_alignment,-0.56837,1,27,3,3,True,758,35,275,307,-0.0918,3,True,False,True,18.3
34,granules,222,230,18.4803,18.9408,wav2vec2_ctc_forced_alignment,-0.56837,2,46,5,5,True,757,40,275,301,-1.17013,5,True,False,True,18.7
35,buff,231,235,19.0809,19.2811,wav2vec2_ctc_forced_alignment,-0.56837,1,20,2,2,True,755,27,276,301,-0.31101,2,True,False,True,19.2
36,away,236,240,19.3812,19.6415,wav2vec2_ctc_forced_alignment,-0.56837,1,26,3,3,True,752,31,275,306,-0.08342,3,True,False,True,19.5
37,dead,241,245,20.1421,20.3623,wav2vec2_ctc_forced_alignment,-0.56837,1,22,2,2,True,757,39,274,303,-0.19888,2,True,False,True,20.3
38,dry,247,250,20.7027,20.983,wav2vec2_ctc_forced_alignment,-0.56837,1,28,2,2,True,759,52,275,306,-0.12603,2,True,False,True,20.8
39,skin,251,255,21.2233,21.4235,wav2vec2_ctc_forced_alignment,-0.56837,1,20,2,2,True,748,65,282,305,-0.09737,2,True,False,True,21.3
40,cells,256,261,21.5436,21.8239,wav2vec2_ctc_forced_alignment,-0.56837,1,28,3,3,True,742,56,282,314,-2.09992,3,True,False,True,21.7
