word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,So,0,2,0.6016,0.8221,wav2vec2_ctc_forced_alignment,-0.25483,1,23,2,2,True,197,57,137,137,0.5
1,if,3,5,1.1029,1.143,wav2vec2_ctc_forced_alignment,-0.25483,1,5,1,1,True,195,59,136,136,1.0
2,you,6,9,1.2031,1.2833,wav2vec2_ctc_forced_alignment,-0.25483,1,9,2,2,True,195,59,136,136,1.0
3,have,10,14,1.3435,1.4638,wav2vec2_ctc_forced_alignment,-0.25483,1,13,1,1,True,191,60,133,133,1.5
4,a,15,16,1.524,1.544,wav2vec2_ctc_forced_alignment,-0.25483,1,3,1,1,True,191,60,133,133,1.5
5,loved,17,22,1.6042,1.7846,wav2vec2_ctc_forced_alignment,-0.25483,1,19,2,2,True,191,60,133,133,1.5
6,one,23,26,1.905,1.9852,wav2vec2_ctc_forced_alignment,-0.25483,1,10,1,1,True,191,58,136,136,2.0
7,who,27,30,2.0253,2.1055,wav2vec2_ctc_forced_alignment,-0.25483,1,9,1,1,True,191,58,136,136,2.0
8,is,31,33,2.2057,2.2659,wav2vec2_ctc_forced_alignment,-0.25483,1,7,2,2,True,191,58,136,136,2.0
9,depressed,34,43,2.3261,2.9076,wav2vec2_ctc_forced_alignment,-0.25483,1,59,2,2,True,193,59,140,140,2.5
10,those,44,49,3.2685,3.449,wav2vec2_ctc_forced_alignment,-0.25483,1,19,1,1,True,199,59,133,133,3.5
11,are,50,53,3.4891,3.5693,wav2vec2_ctc_forced_alignment,-0.25483,1,9,1,1,True,199,59,133,133,3.5
12,some,54,58,3.6094,3.7297,wav2vec2_ctc_forced_alignment,-0.25483,1,13,1,1,True,199,59,133,133,3.5
13,of,59,61,3.7698,3.8099,wav2vec2_ctc_forced_alignment,-0.25483,1,5,1,1,True,198,60,138,138,4.0
14,the,62,65,3.8701,3.9503,wav2vec2_ctc_forced_alignment,-0.25483,1,9,1,1,True,198,60,138,138,4.0
15,things,66,72,4.0104,4.211,wav2vec2_ctc_forced_alignment,-0.25483,1,21,1,1,True,198,60,138,138,4.0
16,that,73,77,4.2511,4.3513,wav2vec2_ctc_forced_alignment,-0.25483,1,11,1,1,True,201,61,137,137,4.5
17,you,78,81,4.3914,4.4716,wav2vec2_ctc_forced_alignment,-0.25483,1,9,1,1,True,201,61,137,137,4.5
18,should,82,88,4.5318,4.7123,wav2vec2_ctc_forced_alignment,-0.25483,1,19,1,1,True,201,61,137,137,4.5
19,think,89,94,4.7323,4.8526,wav2vec2_ctc_forced_alignment,-0.25483,1,13,2,2,True,199,59,139,139,5.0
20,about,95,100,4.9328,5.1334,wav2vec2_ctc_forced_alignment,-0.25483,1,21,1,1,True,199,59,139,139,5.0
21,doing,101,106,5.1935,5.5144,wav2vec2_ctc_forced_alignment,-0.25483,1,33,2,2,True,196,58,144,144,5.5
