word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,You're,0,6,0.0,0.1202,wav2vec2_ctc_forced_alignment,-0.64102,3,13,1,1,True,253,94,136,136,0.0
1,going,7,12,0.5811,0.7013,wav2vec2_ctc_forced_alignment,-0.64102,1,13,1,1,True,256,85,132,132,0.5
2,to,13,15,0.7414,0.7815,wav2vec2_ctc_forced_alignment,-0.64102,1,5,2,2,True,253,85,126,126,1.0
3,talk,16,20,0.8416,1.062,wav2vec2_ctc_forced_alignment,-0.64102,1,23,1,1,True,253,85,126,126,1.0
4,about,21,26,1.1822,1.5429,wav2vec2_ctc_forced_alignment,-0.64102,1,37,2,2,True,253,85,129,129,1.5
5,their,27,32,1.8635,2.0639,wav2vec2_ctc_forced_alignment,-0.64102,1,21,1,1,True,264,82,131,131,2.0
6,life,33,37,2.2042,2.5849,wav2vec2_ctc_forced_alignment,-0.64102,1,39,2,2,True,267,89,131,131,2.5
7,their,39,44,2.9456,3.1459,wav2vec2_ctc_forced_alignment,-0.64102,1,21,1,1,True,263,85,130,130,3.0
8,marriage,45,53,3.2461,3.7671,wav2vec2_ctc_forced_alignment,-0.64102,1,53,3,3,True,267,89,131,131,3.5
9,and,54,57,4.769,4.8291,wav2vec2_ctc_forced_alignment,-0.64102,1,7,1,1,True,278,83,132,132,5.0
10,usually,58,65,5.0095,5.4904,wav2vec2_ctc_forced_alignment,-0.64102,1,49,2,2,True,278,83,132,132,5.0
11,how,66,69,5.6106,5.7509,wav2vec2_ctc_forced_alignment,-0.64102,1,15,2,2,True,277,92,130,130,5.5
12,amazing,70,77,5.9112,6.4121,wav2vec2_ctc_forced_alignment,-0.64102,1,51,2,2,True,280,85,129,129,6.0
13,it,78,80,6.4923,6.5323,wav2vec2_ctc_forced_alignment,-0.64102,1,5,1,1,True,269,89,136,136,6.5
14,is,81,83,6.6726,6.7327,wav2vec2_ctc_forced_alignment,-0.64102,1,7,1,1,True,269,89,136,136,6.5
15,that,84,88,6.8329,6.9531,wav2vec2_ctc_forced_alignment,-0.64102,1,13,1,1,True,270,91,132,132,7.0
16,they've,89,96,6.9732,7.1735,wav2vec2_ctc_forced_alignment,-0.64102,3,21,1,1,True,270,91,132,132,7.0
17,stayed,97,103,7.2136,7.4741,wav2vec2_ctc_forced_alignment,-0.64102,1,27,2,2,True,266,87,137,137,7.5
18,together,104,112,7.5342,7.8949,wav2vec2_ctc_forced_alignment,-0.64102,1,37,2,2,True,266,87,137,137,7.5
19,this,113,117,7.9751,8.1153,wav2vec2_ctc_forced_alignment,-0.64102,1,15,1,1,True,266,90,136,136,8.0
20,long,118,122,8.2355,8.496,wav2vec2_ctc_forced_alignment,-0.64102,1,27,2,2,True,269,94,132,132,8.5
