word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,Just,0,4,0.5224,0.7033,wav2vec2_ctc_forced_alignment,-0.02929,1,18,2,2,True,118,74,142,172,-0.07214,2,True,False,True,0.6
1,given,5,10,0.7636,0.9645,wav2vec2_ctc_forced_alignment,-0.02929,1,20,2,2,True,122,71,143,182,-0.0009,2,True,False,True,0.9
2,to,11,13,1.0248,1.0851,wav2vec2_ctc_forced_alignment,-0.02929,1,6,0,0,True,126,70,143,185,-0.04438,0,True,True,True,1.1
3,their,14,19,1.1454,1.3061,wav2vec2_ctc_forced_alignment,-0.02929,1,16,2,2,True,129,68,142,183,-0.01728,2,True,False,True,1.2
4,own,20,23,1.3865,1.487,wav2vec2_ctc_forced_alignment,-0.02929,1,10,1,1,True,130,68,143,171,-0.00014,1,True,False,True,1.4
5,devices,24,31,1.5472,2.1099,wav2vec2_ctc_forced_alignment,-0.02929,1,56,6,6,True,128,69,144,176,-0.03668,6,True,False,True,1.8
6,they,32,36,2.1903,2.3108,wav2vec2_ctc_forced_alignment,-0.02929,1,12,2,2,True,127,68,143,187,-0.00661,2,True,False,True,2.3
7,are,37,40,2.3711,2.4515,wav2vec2_ctc_forced_alignment,-0.02929,1,8,1,1,True,130,68,142,185,-0.00837,1,True,False,True,2.4
8,not,41,44,2.5319,2.6926,wav2vec2_ctc_forced_alignment,-0.02929,1,16,1,1,True,127,73,144,186,-7e-05,1,True,False,True,2.6
9,going,45,50,2.773,3.0141,wav2vec2_ctc_forced_alignment,-0.02929,1,24,3,3,True,130,71,145,185,-0.00026,3,True,False,True,2.9
10,to,51,53,3.0945,3.1548,wav2vec2_ctc_forced_alignment,-0.02929,1,6,1,1,True,127,70,148,189,-0.00013,1,True,False,True,3.1
11,read,54,58,3.2352,3.3959,wav2vec2_ctc_forced_alignment,-0.02929,1,16,1,1,True,130,70,147,188,-0.01372,1,True,False,True,3.3
12,the,59,62,3.4562,3.5165,wav2vec2_ctc_forced_alignment,-0.02929,1,6,1,1,True,133,72,146,188,-0.00764,1,True,False,True,3.5
13,textbook,63,71,3.5768,4.0992,wav2vec2_ctc_forced_alignment,-0.02929,1,52,5,5,True,139,73,143,178,-0.08558,5,True,False,True,3.8
