word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,We're,0,5,0.6003,0.9405,wav2vec2_ctc_forced_alignment,-0.14878,3,35,2,2,True,388,55,435,435,1.0
1,a,6,7,1.2407,1.2607,wav2vec2_ctc_forced_alignment,-0.14878,1,3,2,2,True,395,59,425,425,1.5
2,huge,8,12,1.3607,1.6609,wav2vec2_ctc_forced_alignment,-0.14878,1,31,1,1,True,395,59,425,425,1.5
3,user,13,17,2.6415,2.9016,wav2vec2_ctc_forced_alignment,-0.14878,1,27,2,2,True,397,63,419,419,3.0
4,of,18,20,2.9616,3.0016,wav2vec2_ctc_forced_alignment,-0.14878,1,5,1,1,True,397,63,419,419,3.0
5,adhesives,21,30,3.1017,3.5219,wav2vec2_ctc_forced_alignment,-0.14878,3,43,2,2,True,403,64,418,418,3.5
6,for,31,34,4.2023,4.3824,wav2vec2_ctc_forced_alignment,-0.14878,1,19,2,2,True,389,57,433,433,4.5
7,our,35,38,4.5825,4.6626,wav2vec2_ctc_forced_alignment,-0.14878,1,9,1,1,True,389,57,433,433,4.5
8,operation,39,48,4.7426,5.1828,wav2vec2_ctc_forced_alignment,-0.14878,1,45,2,2,True,399,61,426,426,5.0
9,called,50,56,5.6431,5.8232,wav2vec2_ctc_forced_alignment,-0.14878,1,19,2,2,True,404,64,424,424,5.5
10,flocking,57,65,5.8632,6.2634,wav2vec2_ctc_forced_alignment,-0.14878,2,41,2,2,True,391,61,432,432,6.0
11,and,67,70,6.6036,6.7237,wav2vec2_ctc_forced_alignment,-0.14878,1,13,1,1,True,389,57,427,427,6.5
12,we,71,73,7.0239,7.0839,wav2vec2_ctc_forced_alignment,-0.14878,1,7,1,1,True,394,60,421,421,7.0
13,don't,74,79,7.1439,7.264,wav2vec2_ctc_forced_alignment,-0.14878,3,13,2,2,True,394,60,421,421,7.0
14,have,80,84,7.284,7.364,wav2vec2_ctc_forced_alignment,-0.14878,1,9,1,1,True,391,61,428,428,7.5
15,the,85,88,7.4041,7.4641,wav2vec2_ctc_forced_alignment,-0.14878,1,7,1,1,True,391,61,428,428,7.5
16,technical,89,98,7.5241,7.8843,wav2vec2_ctc_forced_alignment,-0.14878,1,37,2,2,True,391,61,428,428,7.5
17,inside,99,105,8.3846,8.6648,wav2vec2_ctc_forced_alignment,-0.14878,1,29,1,1,True,406,61,418,418,8.5
18,compounding,106,117,9.4052,9.9855,wav2vec2_ctc_forced_alignment,-0.14878,2,59,2,2,True,396,51,443,443,9.5
19,or,118,120,10.2056,10.2656,wav2vec2_ctc_forced_alignment,-0.14878,1,7,2,2,True,392,58,432,432,10.0
20,the,121,124,10.3457,10.4057,wav2vec2_ctc_forced_alignment,-0.14878,1,7,1,1,True,403,59,434,434,10.5
21,technical,125,134,10.4658,10.7859,wav2vec2_ctc_forced_alignment,-0.14878,1,33,2,2,True,403,59,434,434,10.5
22,expertise,135,144,10.846,11.2862,wav2vec2_ctc_forced_alignment,-0.14878,1,45,2,2,True,409,62,432,432,11.0
23,to,145,147,11.3262,11.3662,wav2vec2_ctc_forced_alignment,-0.14878,1,5,1,1,True,404,58,427,427,11.5
24,do,148,150,11.4263,11.4863,wav2vec2_ctc_forced_alignment,-0.14878,1,7,1,1,True,404,58,427,427,11.5
25,these,151,156,11.5664,11.7064,wav2vec2_ctc_forced_alignment,-0.14878,1,15,1,1,True,404,58,427,427,11.5
26,types,157,162,11.7665,11.9466,wav2vec2_ctc_forced_alignment,-0.14878,1,19,1,1,True,402,61,421,421,12.0
27,of,163,165,12.0066,12.0466,wav2vec2_ctc_forced_alignment,-0.14878,1,5,1,1,True,402,61,421,421,12.0
28,things,166,172,12.1067,12.9471,wav2vec2_ctc_forced_alignment,-0.14878,1,85,3,3,True,404,63,418,418,12.5
