word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,I,0,1,0.5615,0.5816,wav2vec2_ctc_forced_alignment,-0.74946,1,2,0,0,False,280,0,720,720,-0.2037,0,False,True,True,0.6
1,used,2,6,0.6819,0.7821,wav2vec2_ctc_forced_alignment,-0.74946,1,10,1,1,False,280,0,720,720,-0.04777,1,False,False,True,0.7
2,to,7,9,0.8022,0.8623,wav2vec2_ctc_forced_alignment,-0.74946,1,6,0,0,False,280,0,720,720,-0.01996,0,False,True,True,0.8
3,work,10,14,0.8824,0.9827,wav2vec2_ctc_forced_alignment,-0.74946,1,10,1,1,False,280,0,720,720,-0.00119,1,False,False,True,0.9
4,for,15,18,1.0428,1.123,wav2vec2_ctc_forced_alignment,-0.74946,1,8,1,1,False,280,0,720,720,-0.00153,1,False,False,True,1.1
5,Warren,19,25,1.1632,1.4038,wav2vec2_ctc_forced_alignment,-0.74946,1,24,3,3,True,1164,110,116,121,-0.23039,3,False,False,True,1.3
6,Avis,26,30,1.4439,1.6846,wav2vec2_ctc_forced_alignment,-0.74946,2,24,2,2,False,280,0,720,720,-0.10813,2,False,False,True,1.6
7,the,32,35,1.9252,1.9854,wav2vec2_ctc_forced_alignment,-0.74946,1,6,0,0,False,280,0,720,720,-0.02298,0,False,True,True,2.0
8,guy,36,39,2.0255,2.1258,wav2vec2_ctc_forced_alignment,-0.74946,1,10,1,1,True,335,614,100,100,-3.06738,1,False,False,True,2.1
9,who,40,43,2.1659,2.226,wav2vec2_ctc_forced_alignment,-0.74946,1,6,1,1,True,376,614,101,101,-4.23262,1,False,False,True,2.2
10,started,44,51,2.2662,2.5269,wav2vec2_ctc_forced_alignment,-0.74946,1,26,3,3,True,376,614,101,101,-1.33848,3,False,False,True,2.4
11,Avis,52,56,2.5469,2.7675,wav2vec2_ctc_forced_alignment,-0.74946,2,22,2,2,True,376,614,101,101,-0.05501,2,False,False,True,2.7
12,Rent,57,61,2.8076,2.9681,wav2vec2_ctc_forced_alignment,-0.74946,1,16,1,1,True,376,614,101,101,-1.39128,1,False,False,True,2.9
13,a,62,63,2.9881,3.0082,wav2vec2_ctc_forced_alignment,-0.74946,1,2,1,1,True,376,614,101,101,-2.14056,1,False,False,True,3.0
14,Car,64,67,3.0683,3.1887,wav2vec2_ctc_forced_alignment,-0.74946,1,12,1,1,True,376,614,102,102,-0.19322,1,False,False,True,3.1
15,and,69,72,3.2288,3.2889,wav2vec2_ctc_forced_alignment,-0.74946,1,6,0,0,True,626,76,338,402,-0.22306,0,True,True,True,3.3
16,he,73,75,3.329,3.3691,wav2vec2_ctc_forced_alignment,-0.74946,1,4,0,0,True,626,76,338,402,-0.00238,0,True,True,True,3.3
17,said,76,80,3.4494,3.6299,wav2vec2_ctc_forced_alignment,-0.74946,1,18,2,2,True,630,71,349,395,-7.10502,2,True,False,True,3.5
18,to,81,83,3.6499,3.69,wav2vec2_ctc_forced_alignment,-0.74946,1,5,0,0,True,647,68,325,399,-7.73502,0,True,True,True,3.7
19,me,84,86,3.7101,3.7702,wav2vec2_ctc_forced_alignment,-0.74946,1,6,0,0,True,647,68,325,399,-0.18453,0,True,True,True,3.7
20,one,87,90,3.8906,3.9908,wav2vec2_ctc_forced_alignment,-0.74946,1,10,1,1,True,638,69,337,403,-0.22705,1,True,False,True,3.9
21,day,91,94,4.0309,4.1914,wav2vec2_ctc_forced_alignment,-0.74946,1,16,1,1,True,633,67,340,402,-0.00045,1,True,False,True,4.1
22,Robert,97,103,4.8331,5.1139,wav2vec2_ctc_forced_alignment,-0.74946,1,28,3,3,True,630,63,344,405,-0.00157,3,True,False,True,5.0
23,what's,106,112,5.174,5.3545,wav2vec2_ctc_forced_alignment,-0.74946,3,18,2,2,True,630,62,340,406,-0.0242,2,True,False,True,5.3
24,the,113,116,5.3946,5.4548,wav2vec2_ctc_forced_alignment,-0.74946,1,6,1,1,True,637,60,345,398,-0.00103,1,True,False,True,5.4
25,purpose,117,124,5.515,5.8158,wav2vec2_ctc_forced_alignment,-0.74946,1,30,3,3,True,633,72,340,407,-0.05306,3,True,False,True,5.7
26,of,125,127,5.8559,5.896,wav2vec2_ctc_forced_alignment,-0.74946,1,4,0,0,True,619,77,335,407,-0.00603,0,True,True,True,5.9
27,business,128,136,5.9562,6.638,wav2vec2_ctc_forced_alignment,-0.74946,1,68,7,7,True,818,97,352,402,-0.02148,7,True,False,True,6.3
