word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,I've,0,4,0.0,0.3344,proportional_fallback_low_ctc_confidence,-9.42319,3,34,2,2,True,536,251,162,162,0.0
1,drawn,5,10,0.3344,0.8918,proportional_fallback_low_ctc_confidence,-9.42319,1,57,2,2,True,544,256,160,160,0.5
2,this,11,15,0.8918,1.3377,proportional_fallback_low_ctc_confidence,-9.42319,1,46,2,2,True,542,254,174,174,1.0
3,man,16,19,1.3377,1.6721,proportional_fallback_low_ctc_confidence,-9.42319,1,34,1,1,True,534,261,160,160,1.5
4,here,20,24,1.6721,2.118,proportional_fallback_low_ctc_confidence,-9.42319,1,46,2,2,True,536,258,167,167,2.0
5,and,26,29,2.118,2.4524,proportional_fallback_low_ctc_confidence,-9.42319,1,34,2,2,True,539,259,163,163,2.5
6,if,30,32,2.4524,2.6754,proportional_fallback_low_ctc_confidence,-9.42319,1,24,1,1,True,539,259,163,163,2.5
7,you,33,36,2.6754,3.0098,proportional_fallback_low_ctc_confidence,-9.42319,1,34,2,2,True,545,262,160,160,3.0
8,can,37,40,3.0098,3.3442,proportional_fallback_low_ctc_confidence,-9.42319,1,34,2,2,True,545,262,160,160,3.0
9,tell,41,45,3.3442,3.7901,proportional_fallback_low_ctc_confidence,-9.42319,1,46,2,2,True,548,240,147,147,3.5
10,he,47,49,3.7901,4.013,proportional_fallback_low_ctc_confidence,-9.42319,1,23,1,1,True,549,240,156,156,4.0
11,has,50,53,4.013,4.3475,proportional_fallback_low_ctc_confidence,-9.42319,1,35,2,2,True,549,240,156,156,4.0
12,a,54,55,4.3475,4.4589,proportional_fallback_low_ctc_confidence,-9.42319,1,12,1,1,True,570,254,152,152,4.5
13,lot,56,59,4.4589,4.7933,proportional_fallback_low_ctc_confidence,-9.42319,1,34,2,2,True,570,254,152,152,4.5
14,of,60,62,4.7933,5.0163,proportional_fallback_low_ctc_confidence,-9.42319,1,24,1,1,True,569,255,155,155,5.0
15,big,63,66,5.0163,5.3507,proportional_fallback_low_ctc_confidence,-9.42319,1,34,2,2,True,569,255,155,155,5.0
16,muscles,67,74,5.3507,6.131,proportional_fallback_low_ctc_confidence,-9.42319,1,79,2,2,True,566,262,154,154,5.5
17,he,76,78,6.131,6.354,proportional_fallback_low_ctc_confidence,-9.42319,1,23,2,2,True,563,261,153,153,6.0
18,looks,79,84,6.354,6.9113,proportional_fallback_low_ctc_confidence,-9.42319,1,57,2,2,True,562,256,159,159,6.5
19,very,85,89,6.9113,7.3572,proportional_fallback_low_ctc_confidence,-9.42319,1,46,2,2,True,565,261,155,155,7.0
20,strong,90,96,7.3572,8.0261,proportional_fallback_low_ctc_confidence,-9.42319,1,67,2,2,True,564,262,148,148,7.5
