word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,Yesterday,0,9,0.0,0.9172,proportional_fallback_low_ctc_confidence,-3.97446,1,92,10,10,True,547,85,270,329,-5.37225,10,True,False,False,0.5
1,Eliav,10,15,0.9172,1.4267,proportional_fallback_low_ctc_confidence,-3.97446,2,51,5,5,True,548,84,269,327,-0.28553,5,True,False,False,1.2
2,Gelman,16,22,1.4267,2.0382,proportional_fallback_low_ctc_confidence,-3.97446,2,61,6,6,True,550,86,267,327,-2.50672,6,True,False,False,1.7
3,lost,23,27,2.0382,2.4459,proportional_fallback_low_ctc_confidence,-3.97446,1,41,4,4,True,543,100,269,321,-4.22489,4,True,False,False,2.2
4,his,28,31,2.4459,2.7516,proportional_fallback_low_ctc_confidence,-3.97446,1,31,3,3,True,544,111,269,325,-5.67608,3,True,False,False,2.6
5,life,32,36,2.7516,3.1592,proportional_fallback_low_ctc_confidence,-3.97446,1,40,4,4,True,544,98,270,322,-2.4422,4,True,False,False,3.0
6,in,37,39,3.1592,3.3631,proportional_fallback_low_ctc_confidence,-3.97446,1,21,2,2,True,546,105,270,320,-3.68568,2,True,False,False,3.3
7,another,40,47,3.3631,4.0764,proportional_fallback_low_ctc_confidence,-3.97446,1,71,7,7,True,578,98,268,325,-3.84554,7,True,False,False,3.7
8,terrorist,48,57,4.0764,4.9936,proportional_fallback_low_ctc_confidence,-3.97446,1,92,9,9,True,527,93,266,313,-5.66495,9,True,False,False,4.5
9,attack,58,64,4.9936,5.6051,proportional_fallback_low_ctc_confidence,-3.97446,1,61,7,7,True,508,82,270,339,-4.14922,7,True,False,False,5.3
10,not,66,69,5.6051,5.9108,proportional_fallback_low_ctc_confidence,-3.97446,1,31,3,3,True,515,92,270,326,-2.53765,3,True,False,False,5.8
11,by,70,72,5.9108,6.1146,proportional_fallback_low_ctc_confidence,-3.97446,1,20,2,2,True,520,96,271,323,-7.54019,2,True,False,False,6.0
12,the,73,76,6.1146,6.4204,proportional_fallback_low_ctc_confidence,-3.97446,1,31,3,3,True,522,102,272,315,-2.95943,3,True,False,False,6.3
13,students,77,85,6.4204,7.2357,proportional_fallback_low_ctc_confidence,-3.97446,1,81,8,8,True,533,104,267,319,-6.86181,8,True,False,False,6.8
14,of,86,88,7.2357,7.4395,proportional_fallback_low_ctc_confidence,-3.97446,1,20,2,2,True,537,101,261,315,-7.1074,2,True,False,False,7.3
15,terrorism,89,98,7.4395,8.3567,proportional_fallback_low_ctc_confidence,-3.97446,1,92,9,9,True,516,72,273,332,-5.86387,9,True,False,False,7.9
16,but,100,103,8.3567,8.6624,proportional_fallback_low_ctc_confidence,-3.97446,1,31,3,3,True,517,74,275,331,-3.63752,3,True,False,False,8.5
17,by,104,106,8.6624,8.8662,proportional_fallback_low_ctc_confidence,-3.97446,1,20,2,2,True,527,84,273,329,-6.72325,2,True,False,False,8.8
18,those,107,112,8.8662,9.3758,proportional_fallback_low_ctc_confidence,-3.97446,1,51,5,5,True,527,82,274,326,-3.03,5,True,False,False,9.1
19,who,113,116,9.3758,9.6815,proportional_fallback_low_ctc_confidence,-3.97446,1,31,3,3,True,502,57,285,337,-4.18337,3,True,False,False,9.5
20,teach,117,122,9.6815,10.1911,proportional_fallback_low_ctc_confidence,-3.97446,1,51,5,5,True,500,72,286,335,-3.34834,5,True,False,False,9.9
21,terrorism,123,132,10.1911,11.1083,proportional_fallback_low_ctc_confidence,-3.97446,1,91,10,10,True,504,85,285,327,-2.59175,10,True,False,False,10.6
22,a,134,135,11.1083,11.2102,proportional_fallback_low_ctc_confidence,-3.97446,1,11,1,1,True,520,71,276,325,-3.77885,1,True,False,False,11.2
23,Palestinian,136,147,11.2102,12.3312,proportional_fallback_low_ctc_confidence,-3.97446,1,112,11,11,True,513,76,279,323,-2.51296,11,True,False,False,11.8
24,teacher,148,155,12.3312,13.0446,proportional_fallback_low_ctc_confidence,-3.97446,1,71,7,7,True,522,72,276,336,-2.07191,7,True,False,False,12.7
