sample_id,text_token_ids_match_raw,text_content_rows,audio_observed_rows,vision_observed_rows,at_50_token_limit,av_alignment_status
-3g5yACwYnA$_$4,True,39,39,39,False,unverified: separate modality axes
-HwX2H8Z4hY$_$3,True,18,18,3,False,unverified: separate modality axes
-HwX2H8Z4hY$_$9,True,24,24,18,False,unverified: separate modality axes
-NFrJFQijFE$_$0,True,10,10,0,False,unverified: separate modality axes
-THoVjtIkeU$_$2,True,11,11,11,False,unverified: separate modality axes
-UuX1xuaiiE$_$9,True,18,18,18,False,unverified: separate modality axes
-WXXTNIJcVM$_$0,True,8,8,0,False,unverified: separate modality axes
-a55Q6RWvTA$_$3,True,48,48,48,True,unverified: separate modality axes
-aNfi7CP8vM$_$10,True,28,28,28,False,unverified: separate modality axes
-aqamKhZ1Ec$_$1,True,29,29,29,False,unverified: separate modality axes
-aqamKhZ1Ec$_$0,True,16,16,16,False,unverified: separate modality axes
-dxfTGcXJoc$_$0,True,48,48,48,True,unverified: separate modality axes
-dxfTGcXJoc$_$6,True,32,32,32,False,unverified: separate modality axes
-egA8-b7-3M$_$3,True,21,21,21,False,unverified: separate modality axes
-lqc32Zpr7M$_$18,True,29,29,29,False,unverified: separate modality axes
-lzEya4AM_4$_$6,True,48,48,48,True,unverified: separate modality axes
-mJ2ud6oKI8$_$9,True,29,29,29,False,unverified: separate modality axes
-mqbVkbCndg$_$1,True,8,8,8,False,unverified: separate modality axes
-mqbVkbCndg$_$4,True,21,21,21,False,unverified: separate modality axes
-tPCytz4rww$_$16,True,17,17,17,False,unverified: separate modality axes
-vxjVxOeScU$_$2,True,19,19,19,False,unverified: separate modality axes
-wny0OAz3g8$_$0,True,11,11,11,False,unverified: separate modality axes
-wny0OAz3g8$_$5,True,27,27,27,False,unverified: separate modality axes
03X1FwF6udc$_$22,True,21,21,21,False,unverified: separate modality axes
07Z16yRBFUQ$_$5,True,39,39,39,False,unverified: separate modality axes
0BVed2nBq1g$_$0,True,8,8,8,False,unverified: separate modality axes
0BVed2nBq1g$_$3,True,11,11,11,False,unverified: separate modality axes
0BVed2nBq1g$_$2,True,26,26,26,False,unverified: separate modality axes
0DBfvvIVmqY$_$13,True,8,8,8,False,unverified: separate modality axes
0DBfvvIVmqY$_$14,True,16,16,16,False,unverified: separate modality axes
0DBfvvIVmqY$_$4,True,9,9,9,False,unverified: separate modality axes
0DBfvvIVmqY$_$8,True,11,11,11,False,unverified: separate modality axes
0EphpADwdPg$_$6,True,14,14,14,False,unverified: separate modality axes
0FA32bEZ6xI$_$24,True,30,30,30,False,unverified: separate modality axes
0FA32bEZ6xI$_$25,True,18,18,18,False,unverified: separate modality axes
0FA32bEZ6xI$_$28,True,18,18,18,False,unverified: separate modality axes
0FA32bEZ6xI$_$3,True,12,12,12,False,unverified: separate modality axes
0FA32bEZ6xI$_$6,True,12,12,12,False,unverified: separate modality axes
0FA32bEZ6xI$_$15,True,35,35,35,False,unverified: separate modality axes
0FA32bEZ6xI$_$14,True,11,11,11,False,unverified: separate modality axes
0FA32bEZ6xI$_$18,True,8,8,8,False,unverified: separate modality axes
0JuRmhhgMw8$_$0,True,15,15,15,False,unverified: separate modality axes
0OC3wf9x3zQ$_$7,True,19,19,19,False,unverified: separate modality axes
0OC3wf9x3zQ$_$6,True,26,26,26,False,unverified: separate modality axes
0OXeN3MhFeA$_$19,True,29,29,29,False,unverified: separate modality axes
0OXeN3MhFeA$_$18,True,15,15,15,False,unverified: separate modality axes
0OXeN3MhFeA$_$15,True,20,20,20,False,unverified: separate modality axes
0Svu5BldR5A$_$0,True,36,36,36,False,unverified: separate modality axes
0YdYFtVdlWE$_$7,True,4,4,4,False,unverified: separate modality axes
0YdYFtVdlWE$_$6,True,10,10,10,False,unverified: separate modality axes
0YdYFtVdlWE$_$8,True,14,14,14,False,unverified: separate modality axes
0YdYFtVdlWE$_$10,True,19,19,19,False,unverified: separate modality axes
0YdYFtVdlWE$_$15,True,37,37,34,False,unverified: separate modality axes
0YdYFtVdlWE$_$14,True,15,15,15,False,unverified: separate modality axes
0bsTzavb-AE$_$3,True,15,15,15,False,unverified: separate modality axes
0hCOCt6fWas$_$15,True,31,31,31,False,unverified: separate modality axes
0hCOCt6fWas$_$2,True,33,33,33,False,unverified: separate modality axes
0hCihQ5Kep0$_$3,True,19,19,19,False,unverified: separate modality axes
0hCihQ5Kep0$_$4,True,7,7,7,False,unverified: separate modality axes
0jtdrsmVzYQ$_$5,True,25,25,25,False,unverified: separate modality axes
0mXv97u2OCM$_$7,True,18,18,18,False,unverified: separate modality axes
0p9XKC_J3hU$_$2,True,29,29,29,False,unverified: separate modality axes
0rE8jEvQW_I$_$3,True,20,20,20,False,unverified: separate modality axes
0rE8jEvQW_I$_$4,True,21,21,21,False,unverified: separate modality axes
0rE8jEvQW_I$_$9,True,6,6,6,False,unverified: separate modality axes
0tkWa2skSmA$_$8,True,48,48,48,True,unverified: separate modality axes
0tkWa2skSmA$_$6,True,17,17,17,False,unverified: separate modality axes
100499$_$5,True,48,48,48,True,unverified: separate modality axes
100499$_$4,True,18,18,18,False,unverified: separate modality axes
101851$_$13,True,17,17,17,False,unverified: separate modality axes
101851$_$14,True,8,8,1,False,unverified: separate modality axes
101851$_$16,True,18,18,18,False,unverified: separate modality axes
101851$_$0,True,20,20,15,False,unverified: separate modality axes
102184$_$12,True,46,46,46,False,unverified: separate modality axes
102184$_$1,True,19,19,19,False,unverified: separate modality axes
102184$_$3,True,29,29,29,False,unverified: separate modality axes
102184$_$7,True,14,14,14,False,unverified: separate modality axes
10223$_$1,True,16,16,16,False,unverified: separate modality axes
10223$_$9,True,17,17,17,False,unverified: separate modality axes
106077$_$1,True,12,12,12,False,unverified: separate modality axes
106077$_$2,True,18,18,18,False,unverified: separate modality axes
106077$_$7,True,11,11,11,False,unverified: separate modality axes
106514$_$10,True,25,25,25,False,unverified: separate modality axes
106514$_$2,True,20,20,20,False,unverified: separate modality axes
106514$_$9,True,4,4,4,False,unverified: separate modality axes
106941$_$10,True,30,30,30,False,unverified: separate modality axes
106941$_$12,True,26,26,26,False,unverified: separate modality axes
106941$_$3,True,29,29,29,False,unverified: separate modality axes
106941$_$2,True,11,11,11,False,unverified: separate modality axes
106941$_$7,True,11,11,11,False,unverified: separate modality axes
106941$_$9,True,9,9,9,False,unverified: separate modality axes
106941$_$8,True,12,12,12,False,unverified: separate modality axes
107551$_$1,True,27,27,27,False,unverified: separate modality axes
107551$_$3,True,12,12,12,False,unverified: separate modality axes
107551$_$5,True,48,48,48,True,unverified: separate modality axes
107551$_$6,True,9,9,9,False,unverified: separate modality axes
108793$_$10,True,28,28,28,False,unverified: separate modality axes
108793$_$17,True,21,21,10,False,unverified: separate modality axes
108793$_$1,True,15,15,15,False,unverified: separate modality axes
108793$_$0,True,3,3,3,False,unverified: separate modality axes
108793$_$8,True,12,12,12,False,unverified: separate modality axes
110203$_$2,True,48,48,17,True,unverified: separate modality axes
110203$_$7,True,13,13,3,False,unverified: separate modality axes
110754$_$3,True,23,23,20,False,unverified: separate modality axes
110754$_$2,True,23,23,14,False,unverified: separate modality axes
110766$_$8,True,7,7,7,False,unverified: separate modality axes
110788$_$0,True,13,13,13,False,unverified: separate modality axes
110788$_$5,True,15,15,15,False,unverified: separate modality axes
112148$_$12,True,16,16,16,False,unverified: separate modality axes
112148$_$5,True,11,11,11,False,unverified: separate modality axes
112148$_$4,True,11,11,11,False,unverified: separate modality axes
112148$_$7,True,19,19,19,False,unverified: separate modality axes
112169$_$7,True,8,8,8,False,unverified: separate modality axes
112604$_$1,True,48,48,48,True,unverified: separate modality axes
112631$_$1,True,48,48,48,True,unverified: separate modality axes
112631$_$6,True,20,20,20,False,unverified: separate modality axes
112903$_$0,True,30,30,30,False,unverified: separate modality axes
112903$_$3,True,27,27,27,False,unverified: separate modality axes
112903$_$6,True,48,48,48,True,unverified: separate modality axes
113265$_$3,True,18,18,18,False,unverified: separate modality axes
113265$_$4,True,33,33,33,False,unverified: separate modality axes
114624$_$11,True,5,5,5,False,unverified: separate modality axes
114624$_$6,True,18,18,18,False,unverified: separate modality axes
114624$_$8,True,9,9,9,False,unverified: separate modality axes
11650$_$0,True,4,4,4,False,unverified: separate modality axes
11650$_$3,True,25,25,25,False,unverified: separate modality axes
