word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,There,0,5,0.0,0.6307,proportional_fallback_silent_audio,,1,64,7,7,False,280,0,720,720,,7,False,False,False,0.3
1,are,6,9,0.6307,1.0091,proportional_fallback_silent_audio,,1,37,4,4,False,280,0,720,720,,4,False,False,False,0.8
2,a,10,11,1.0091,1.1352,proportional_fallback_silent_audio,,1,13,1,1,False,280,0,720,720,,1,False,False,False,1.1
3,dozen,12,17,1.1352,1.7659,proportional_fallback_silent_audio,,1,63,6,6,False,280,0,720,720,,6,False,False,False,1.5
4,or,18,20,1.7659,2.0182,proportional_fallback_silent_audio,,1,25,3,3,False,280,0,720,720,,3,False,False,False,1.9
5,more,21,25,2.0182,2.5227,proportional_fallback_silent_audio,,1,51,5,5,False,280,0,720,720,,5,False,False,False,2.3
6,hands,26,31,2.5227,3.1534,proportional_fallback_silent_audio,,1,63,6,6,False,280,0,720,720,,6,False,False,False,2.8
7,on,32,34,3.1534,3.4057,proportional_fallback_silent_audio,,1,25,3,3,False,280,0,720,720,,3,False,False,False,3.3
8,techniques,35,45,3.4057,4.667,proportional_fallback_silent_audio,,1,126,12,12,False,280,0,720,720,,12,False,False,False,4.0
9,that,46,50,4.667,5.1716,proportional_fallback_silent_audio,,1,51,5,5,False,280,0,720,720,,5,False,False,False,4.9
10,we,51,53,5.1716,5.4238,proportional_fallback_silent_audio,,1,25,3,3,False,280,0,720,720,,3,False,False,False,5.3
11,can,54,57,5.4238,5.8022,proportional_fallback_silent_audio,,1,38,4,4,False,280,0,720,720,,4,False,False,False,5.6
12,do,58,60,5.8022,6.0545,proportional_fallback_silent_audio,,1,25,2,2,False,280,0,720,720,,2,False,False,False,5.9
