word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,This,0,4,1.0626,1.1629,wav2vec2_ctc_forced_alignment,-0.52835,1,10,1,1,True,179,83,143,171,-2.49849,1,True,False,True,1.1
1,is,5,7,1.2431,1.2832,wav2vec2_ctc_forced_alignment,-0.52835,1,4,0,0,True,192,78,140,172,-1.2546,0,True,True,True,1.3
2,Rhett,8,13,1.3433,1.5037,wav2vec2_ctc_forced_alignment,-0.52835,2,16,2,2,True,200,79,137,164,-2.6867,2,True,False,True,1.4
3,Reiger,14,20,1.5639,1.8846,wav2vec2_ctc_forced_alignment,-0.52835,2,32,3,3,True,216,83,139,160,-0.7885,3,True,False,True,1.7
4,White,22,27,1.9648,2.1453,wav2vec2_ctc_forced_alignment,-0.52835,1,18,2,2,True,241,78,136,161,-0.00785,2,True,False,True,2.1
5,Caspian,28,35,2.1653,2.5463,wav2vec2_ctc_forced_alignment,-0.52835,1,38,4,4,True,238,77,131,157,-0.39261,4,True,False,True,2.4
6,Studios,36,43,2.6265,3.0676,wav2vec2_ctc_forced_alignment,-0.52835,1,44,4,4,True,197,90,123,160,-0.03597,4,True,False,True,2.8
7,on,44,46,3.1478,3.2079,wav2vec2_ctc_forced_alignment,-0.52835,1,6,1,1,True,149,94,125,162,-0.00129,1,True,False,True,3.2
8,behalf,47,53,3.2681,3.5287,wav2vec2_ctc_forced_alignment,-0.52835,1,26,3,3,True,146,92,123,158,-0.00203,3,True,False,True,3.4
9,of,54,56,3.6289,3.669,wav2vec2_ctc_forced_alignment,-0.52835,1,4,0,0,True,164,82,123,154,-0.00994,0,True,True,True,3.6
10,Expert,57,63,3.7492,4.05,wav2vec2_ctc_forced_alignment,-0.52835,1,30,3,3,True,175,80,125,157,-0.08129,3,True,False,True,3.9
11,Village,64,71,4.1101,4.4109,wav2vec2_ctc_forced_alignment,-0.52835,1,30,3,3,True,181,81,127,161,-0.00231,3,True,False,True,4.3
