样本编号,预测极性,提交强度_类别一致后处理,模型原始回归强度,预测最大概率,负向概率,中性概率,正向概率,跨模态分支预测,文本分支预测,文本分支实际融合权重,文本不可用比例,语音不可用比例,视觉不可用比例,联合UNK屏蔽位置数,有效内容位置数
附件3_01,Negative,-1.4577293395996094,-1.457729309797287,0.9601424080134492,0.9601424080134492,0.018449735540455633,0.02140785644609517,Negative,Negative,0.675,0.0,0.0,0.0,0,6
附件3_02,Neutral,0.0,0.161363060838942,0.6533937715635469,0.10217604809090307,0.6533937715635469,0.24443018034555003,Neutral,Neutral,0.5544642857142857,0.1785714285714286,0.1785714285714286,0.1785714285714286,5,28
附件3_03,Neutral,0.0,0.17682872395962476,0.6509375002512838,0.11526229071956075,0.6509375002512838,0.23380020902915533,Neutral,Neutral,0.56953125,0.15625,0.15625,0.28125,5,32
附件3_04,Positive,0.660542368888855,0.6605423981143582,0.7387001658036418,0.04980012475032546,0.2114997094460327,0.7387001658036418,Positive,Positive,0.6314516129032258,0.06451612903225812,0.06451612903225812,0.06451612903225812,2,31
附件3_05,Negative,-0.7218983173370361,-0.7218983247876167,0.7599045047416182,0.7599045047416182,0.09279452369204624,0.14730097156633565,Negative,Negative,0.675,0.0,0.0,0.0,0,12
附件3_06,Positive,1.0311357975006104,1.0311357924938203,0.8625045059076328,0.02146468915560349,0.11603080493676371,0.8625045059076328,Positive,Positive,0.5940000000000001,0.12,0.12,0.12,3,25
附件3_07,Positive,0.38864585757255554,0.38864586289439884,0.5028922251063199,0.09220430720831456,0.40490346768536545,0.5028922251063199,Positive,Positive,0.5785714285714286,0.1428571428571429,0.1428571428571429,0.1428571428571429,3,21
附件3_08,Neutral,0.0,0.10452595464885234,0.4519989702057481,0.2714911772695412,0.4519989702057481,0.2765098525247108,Neutral,Neutral,0.5850000000000001,0.1333333333333333,0.1333333333333333,0.1333333333333333,2,15
附件3_09,Positive,1.3267040252685547,1.3267039946147374,0.9395483125939312,0.012060864564591595,0.04839082284147707,0.9395483125939312,Positive,Positive,0.5785714285714286,0.1428571428571429,0.1428571428571429,0.1428571428571429,2,14
附件3_10,Neutral,0.0,-0.124113935418427,0.6801023284440592,0.22615489250947268,0.6801023284440592,0.09374277904646819,Neutral,Neutral,0.675,0.0,0.0,0.0,0,6
附件3_11,Positive,0.5412392616271973,0.5412392382110869,0.5972892069483523,0.07724251151869006,0.3254682815329577,0.5972892069483523,Positive,Neutral,0.4821428571428572,0.2857142857142857,0.2857142857142857,0.2857142857142857,4,14
附件3_12,Positive,1.0971916913986206,1.0971916471536343,0.894834299292365,0.019634867605241167,0.08553083310239377,0.894834299292365,Positive,Positive,0.5711538461538462,0.15384615384615385,0.15384615384615385,0.15384615384615385,2,13
附件3_13,Neutral,0.0,0.2635364214840688,0.44574608418310674,0.15681958741235355,0.44574608418310674,0.39743432840453974,Positive,Neutral,0.6039473684210527,0.10526315789473684,0.10526315789473684,0.10526315789473684,2,19
