word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,There,0,5,0.0,0.6307,proportional_fallback_silent_audio,,1,64,2,2,False,280,0,720,720,0.5
1,are,6,9,0.6307,1.0091,proportional_fallback_silent_audio,,1,39,2,2,False,280,0,720,720,1.0
2,a,10,11,1.0091,1.1352,proportional_fallback_silent_audio,,1,14,1,1,False,280,0,720,720,1.0
3,dozen,12,17,1.1352,1.7659,proportional_fallback_silent_audio,,1,64,3,3,False,280,0,720,720,1.5
4,or,18,20,1.7659,2.0182,proportional_fallback_silent_audio,,1,26,1,1,False,280,0,720,720,2.0
5,more,21,25,2.0182,2.5227,proportional_fallback_silent_audio,,1,51,2,2,False,280,0,720,720,2.5
6,hands,26,31,2.5227,3.1534,proportional_fallback_silent_audio,,1,64,2,2,False,280,0,720,720,3.0
7,on,32,34,3.1534,3.4057,proportional_fallback_silent_audio,,1,27,2,2,False,280,0,720,720,3.5
8,techniques,35,45,3.4057,4.667,proportional_fallback_silent_audio,,1,127,3,3,False,280,0,720,720,4.0
9,that,46,50,4.667,5.1716,proportional_fallback_silent_audio,,1,51,2,2,False,280,0,720,720,5.0
10,we,51,53,5.1716,5.4238,proportional_fallback_silent_audio,,1,26,2,2,False,280,0,720,720,5.5
11,can,54,57,5.4238,5.8022,proportional_fallback_silent_audio,,1,39,2,2,False,280,0,720,720,5.5
12,do,58,60,5.8022,6.0545,proportional_fallback_silent_audio,,1,26,1,1,False,280,0,720,720,6.0
