word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,It's,0,4,0.5809,0.7212,wav2vec2_ctc_forced_alignment,-0.15919,3,15,1,1,True,180,32,205,205,0.5
1,perceived,5,14,0.9215,1.4423,wav2vec2_ctc_forced_alignment,-0.15919,1,53,2,2,True,184,32,200,200,1.0
2,that,15,19,1.5425,1.6627,wav2vec2_ctc_forced_alignment,-0.15919,1,13,1,1,True,181,37,200,200,1.5
3,you,20,23,1.7027,2.0433,wav2vec2_ctc_forced_alignment,-0.15919,1,35,2,2,True,176,46,198,198,2.0
4,have,24,28,3.105,3.3654,wav2vec2_ctc_forced_alignment,-0.15919,1,28,2,2,True,181,37,209,209,3.0
5,actually,29,37,3.4255,3.7059,wav2vec2_ctc_forced_alignment,-0.15919,1,29,1,1,True,182,45,201,201,3.5
6,learned,38,45,3.8061,4.0865,wav2vec2_ctc_forced_alignment,-0.15919,1,29,1,1,True,186,45,200,200,4.0
7,something,46,55,4.2668,4.6875,wav2vec2_ctc_forced_alignment,-0.15919,1,43,1,1,True,184,45,204,204,4.5
8,over,57,61,5.4687,5.5889,wav2vec2_ctc_forced_alignment,-0.15919,1,13,1,1,True,188,48,198,198,5.5
9,the,62,65,5.649,5.7091,wav2vec2_ctc_forced_alignment,-0.15919,1,7,1,1,True,188,48,198,198,5.5
10,course,66,72,5.7492,5.9495,wav2vec2_ctc_forced_alignment,-0.15919,1,21,2,2,True,99,9,272,272,6.0
11,of,73,75,5.9695,6.0296,wav2vec2_ctc_forced_alignment,-0.15919,1,7,1,1,True,99,9,272,272,6.0
12,your,76,80,6.0497,6.1699,wav2vec2_ctc_forced_alignment,-0.15919,1,13,1,1,True,99,9,272,272,6.0
13,carreer,81,88,6.23,6.4503,wav2vec2_ctc_forced_alignment,-0.15919,2,23,2,2,True,174,40,205,205,6.5
14,and,90,93,6.4904,6.5505,wav2vec2_ctc_forced_alignment,-0.15919,1,7,1,1,True,174,40,205,205,6.5
15,that,94,98,6.5705,6.6506,wav2vec2_ctc_forced_alignment,-0.15919,1,9,1,1,True,174,40,205,205,6.5
16,you,99,102,6.6907,6.7909,wav2vec2_ctc_forced_alignment,-0.15919,1,11,2,2,True,174,40,205,205,6.5
17,won't,103,108,6.8509,7.0513,wav2vec2_ctc_forced_alignment,-0.15919,3,21,1,1,True,175,44,193,193,7.0
18,make,109,113,7.3517,7.512,wav2vec2_ctc_forced_alignment,-0.15919,1,17,1,1,True,168,44,197,197,7.5
19,the,114,117,7.5521,7.6122,wav2vec2_ctc_forced_alignment,-0.15919,1,7,1,1,True,168,44,197,197,7.5
20,mistake,118,125,7.6522,7.9727,wav2vec2_ctc_forced_alignment,-0.15919,1,33,2,2,True,167,42,199,199,8.0
21,twice,126,131,8.0729,8.3934,wav2vec2_ctc_forced_alignment,-0.15919,1,33,2,2,True,167,42,199,199,8.0
