word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,But,0,3,0.5209,0.7013,wav2vec2_ctc_forced_alignment,-0.69541,1,19,1,1,True,260,31,96,96,0.5
1,a,4,5,0.9217,0.9417,wav2vec2_ctc_forced_alignment,-0.69541,1,3,1,1,True,267,30,96,96,1.0
2,good,6,10,1.4426,1.5829,wav2vec2_ctc_forced_alignment,-0.69541,1,15,1,1,True,269,31,94,94,1.5
3,thing,11,16,1.6229,1.7432,wav2vec2_ctc_forced_alignment,-0.69541,1,13,1,1,True,269,31,94,94,1.5
4,to,17,19,1.7632,1.8233,wav2vec2_ctc_forced_alignment,-0.69541,1,7,1,1,True,271,29,95,95,2.0
5,do,20,22,1.8634,1.9235,wav2vec2_ctc_forced_alignment,-0.69541,1,7,1,1,True,271,29,95,95,2.0
6,is,23,25,2.0036,2.0637,wav2vec2_ctc_forced_alignment,-0.69541,1,7,1,1,True,271,29,95,95,2.0
7,yawning,26,33,2.1238,2.5646,wav2vec2_ctc_forced_alignment,-0.69541,3,45,2,2,True,268,34,95,95,2.5
8,chewing,35,42,3.5865,3.9071,wav2vec2_ctc_forced_alignment,-0.69541,1,33,2,2,True,257,26,101,101,3.5
9,gum,43,46,4.0073,4.1876,wav2vec2_ctc_forced_alignment,-0.69541,1,19,1,1,True,267,31,93,93,4.0
10,is,47,49,4.3278,4.408,wav2vec2_ctc_forced_alignment,-0.69541,1,9,1,1,True,266,32,93,93,4.5
11,effective,50,59,4.4881,5.0692,wav2vec2_ctc_forced_alignment,-0.69541,1,59,2,2,True,266,30,92,92,5.0
