样本编号,真实类别,预测类别,最高类别概率,真实强度,预测强度,强度绝对误差
102858$_$24,Positive,Negative,0.7839382290840149,3.0,-0.6295311450958252,3.629531145095825
130456$_$3,Positive,Negative,0.8535759449005127,2.3333332538604736,-1.0222203731536865,3.35555362701416
rojyUp4FPSg$_$9,Positive,Negative,0.8760720491409302,2.0,-0.9686152935028076,2.9686152935028076
266791$_$23,Negative,Positive,0.43142879009246826,-2.6666667461395264,0.24233797192573547,2.9090046882629395
50103$_$1,Negative,Neutral,0.4050140082836151,-2.6666667461395264,0.02491851896047592,2.6915853023529053
252998$_$6,Negative,Positive,0.622417688369751,-2.0,0.6889771223068237,2.6889772415161133
102858$_$21,Positive,Negative,0.9108178615570068,1.0,-1.6063930988311768,2.6063930988311768
xjsaS-LeZ14$_$4,Positive,Negative,0.6431577205657959,2.0,-0.5131323337554932,2.513132333755493
101787$_$13,Negative,Positive,0.6392600536346436,-1.6666666269302368,0.7262037396430969,2.3928704261779785
70280$_$10,Negative,Positive,0.4920021891593933,-2.0,0.2544076144695282,2.2544076442718506
dBWvtPeHpWM$_$9,Positive,Neutral,0.5126043558120728,2.3333332538604736,0.1832718849182129,2.1500613689422607
f_ZJ7L14oYQ$_$21,Positive,Negative,0.5420182943344116,2.0,-0.11922001838684082,2.119220018386841
icbUzboLcDQ$_$0,Negative,Positive,0.8845250010490417,-0.6666666865348816,1.3940246105194092,2.0606913566589355
80855$_$6,Positive,Negative,0.44725674390792847,2.0,-0.04150262475013733,2.0415027141571045
rojyUp4FPSg$_$28,Positive,Negative,0.49825942516326904,1.8333333730697632,-0.1860915571451187,2.0194249153137207
236021$_$3,Neutral,Negative,0.9596832990646362,0.0,-1.8911237716674805,1.8911237716674805
270254$_$4,Negative,Positive,0.5679634809494019,-1.6666666269302368,0.2231138050556183,1.8897804021835327
VwvptdTkwEE$_$2,Positive,Negative,0.9312763810157776,0.3333333432674408,-1.464739203453064,1.7980725765228271
31474$_$12,Negative,Positive,0.642841637134552,-1.0,0.7624670267105103,1.7624670267105103
VwvptdTkwEE$_$3,Negative,Neutral,0.4752168655395508,-1.6666666269302368,0.07383269816637039,1.7404993772506714
UlTJmndbGHM$_$7,Negative,Positive,0.49475857615470886,-1.3333333730697632,0.396683931350708,1.7300173044204712
272624$_$16,Neutral,Negative,0.9607000350952148,0.0,-1.6871811151504517,1.6871811151504517
0utROiKxejc$_$4,Neutral,Negative,0.9610162377357483,0.0,-1.6498515605926514,1.6498515605926514
266791$_$29,Negative,Neutral,0.5664448142051697,-1.6666666269302368,-0.029133884236216545,1.6375327110290527
b1LEcg6z66g$_$13,Negative,Positive,0.9342125058174133,-0.3333333432674408,1.2948812246322632,1.6282145977020264
MjaaudUc5-4$_$6,Positive,Negative,0.864543080329895,0.6666666865348816,-0.9475889801979065,1.614255666732788
K0m1tO3Ybyc$_$8,Negative,Positive,0.43215981125831604,-1.3333333730697632,0.2758783996105194,1.609211802482605
bpvYdXVlgvc$_$0,Negative,Neutral,0.6190059781074524,-1.3333333730697632,0.2537391185760498,1.587072491645813
236021$_$9,Negative,Positive,0.9050052762031555,-0.3333333432674408,1.2515512704849243,1.5848846435546875
x2lOwQaAn4g$_$4,Neutral,Positive,0.963522732257843,0.0,1.5820040702819824,1.5820040702819824
