word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,First,0,5,0.522,0.803,wav2vec2_ctc_forced_alignment,-0.2046,1,28,3,3,True,319,70,139,165,-0.00295,3,True,False,True,0.7
1,exhibiting,6,16,1.0439,1.5659,wav2vec2_ctc_forced_alignment,-0.2046,1,52,5,5,True,327,66,143,157,-0.03525,5,True,False,True,1.3
2,is,17,19,1.6462,1.7465,wav2vec2_ctc_forced_alignment,-0.2046,1,10,1,1,True,325,61,138,156,-0.26171,1,True,False,True,1.7
3,a,20,21,1.8068,1.8268,wav2vec2_ctc_forced_alignment,-0.2046,1,2,0,0,True,323,61,138,156,-0.02241,0,True,True,True,1.8
4,wonderful,22,31,1.9473,2.409,wav2vec2_ctc_forced_alignment,-0.2046,1,46,5,5,True,317,59,140,164,-0.08517,5,True,False,True,2.2
5,opportunity,32,43,2.5495,3.1719,wav2vec2_ctc_forced_alignment,-0.2046,1,63,6,6,True,313,62,141,165,-0.01583,6,True,False,True,2.9
6,to,44,46,3.2722,3.3927,wav2vec2_ctc_forced_alignment,-0.2046,1,12,1,1,True,312,62,140,166,-0.00637,1,True,False,True,3.3
7,network,47,54,3.4931,3.8745,wav2vec2_ctc_forced_alignment,-0.2046,1,38,4,4,True,316,60,137,166,-0.00026,4,True,False,True,3.7
8,with,55,59,3.9749,4.0953,wav2vec2_ctc_forced_alignment,-0.2046,1,12,1,1,True,317,61,140,169,-0.00015,1,True,False,True,4.0
9,other,60,65,4.276,4.4567,wav2vec2_ctc_forced_alignment,-0.2046,1,18,2,2,True,318,62,139,170,-0.00532,2,True,False,True,4.4
10,legal,66,71,4.6173,4.8983,wav2vec2_ctc_forced_alignment,-0.2046,1,28,2,2,True,325,63,138,166,-0.03466,2,True,False,True,4.8
11,vendors,72,79,4.9786,5.4002,wav2vec2_ctc_forced_alignment,-0.2046,1,43,5,5,True,326,66,137,164,-1.78988,5,True,False,True,5.2
