word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,So,0,2,0.0,0.1614,proportional_fallback_low_ctc_confidence,-7.04431,1,17,1,1,False,280,0,720,720,0.0
1,we,3,5,0.1614,0.3228,proportional_fallback_low_ctc_confidence,-7.04431,1,17,2,2,False,280,0,720,720,0.0
2,coordinate,6,16,0.3228,1.1298,proportional_fallback_low_ctc_confidence,-7.04431,1,82,2,2,False,280,0,720,720,0.5
3,with,17,21,1.1298,1.4526,proportional_fallback_low_ctc_confidence,-7.04431,1,33,2,2,False,280,0,720,720,1.5
4,all,22,25,1.4526,1.6948,proportional_fallback_low_ctc_confidence,-7.04431,1,25,1,1,False,280,0,720,720,1.5
5,the,26,29,1.6948,1.9369,proportional_fallback_low_ctc_confidence,-7.04431,1,26,2,2,True,741,101,155,155,2.0
6,proper,30,36,1.9369,2.4211,proportional_fallback_low_ctc_confidence,-7.04431,1,49,2,2,True,741,101,155,155,2.0
7,technical,37,46,2.4211,3.1474,proportional_fallback_low_ctc_confidence,-7.04431,1,74,2,2,True,744,106,149,149,3.0
8,fields,47,53,3.1474,3.6316,proportional_fallback_low_ctc_confidence,-7.04431,1,49,2,2,True,744,101,152,152,3.5
9,to,54,56,3.6316,3.793,proportional_fallback_low_ctc_confidence,-7.04431,1,17,2,2,True,744,101,152,152,3.5
10,get,57,60,3.793,4.0351,proportional_fallback_low_ctc_confidence,-7.04431,1,26,1,1,True,747,100,155,155,4.0
11,ready,61,66,4.0351,4.4386,proportional_fallback_low_ctc_confidence,-7.04431,1,41,2,2,True,747,100,155,155,4.0
12,for,67,70,4.4386,4.6807,proportional_fallback_low_ctc_confidence,-7.04431,1,25,1,1,True,761,104,148,148,4.5
13,the,71,74,4.6807,4.9229,proportional_fallback_low_ctc_confidence,-7.04431,1,25,2,2,False,280,0,720,720,5.0
14,instrument,75,85,4.9229,5.7299,proportional_fallback_low_ctc_confidence,-7.04431,1,82,2,2,False,280,0,720,720,5.5
15,to,86,88,5.7299,5.8913,proportional_fallback_low_ctc_confidence,-7.04431,1,17,2,2,False,280,0,720,720,6.0
16,arrive,89,95,5.8913,6.3755,proportional_fallback_low_ctc_confidence,-7.04431,1,50,2,2,False,280,0,720,720,6.0
17,here,96,100,6.3755,6.6983,proportional_fallback_low_ctc_confidence,-7.04431,1,32,1,1,False,280,0,720,720,6.5
