word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,The,0,3,0.5419,0.6222,wav2vec2_ctc_forced_alignment,-0.31126,1,8,1,1,True,509,14,251,301,-0.00034,1,True,False,True,0.6
1,first,4,9,0.7025,0.9233,wav2vec2_ctc_forced_alignment,-0.31126,1,22,2,2,True,515,20,260,306,-0.03387,2,True,False,True,0.8
2,place,10,15,1.0036,1.2846,wav2vec2_ctc_forced_alignment,-0.31126,1,28,2,2,True,516,19,261,313,-0.05421,2,True,False,True,1.1
3,is,16,18,1.385,1.4452,wav2vec2_ctc_forced_alignment,-0.31126,1,6,1,1,True,510,23,264,308,-0.00192,1,True,False,True,1.4
4,either,19,25,1.5455,1.7462,wav2vec2_ctc_forced_alignment,-0.31126,1,20,2,2,True,512,24,257,310,-0.00074,2,True,False,True,1.6
5,you,26,29,1.8667,1.947,wav2vec2_ctc_forced_alignment,-0.31126,1,8,1,1,True,515,29,255,305,-0.00013,1,True,False,True,1.9
6,have,30,34,2.0473,2.2079,wav2vec2_ctc_forced_alignment,-0.31126,1,16,2,2,True,503,33,275,305,-0.01005,2,True,False,True,2.1
7,a,35,36,2.2882,2.3083,wav2vec2_ctc_forced_alignment,-0.31126,1,2,1,1,True,507,40,269,305,-0.00189,1,True,False,True,2.3
8,prospect,37,45,2.3885,2.9104,wav2vec2_ctc_forced_alignment,-0.31126,1,53,6,6,True,513,32,266,308,-0.06184,6,True,False,True,2.6
9,or,47,49,2.9506,3.0108,wav2vec2_ctc_forced_alignment,-0.31126,1,6,1,1,True,511,28,264,311,-0.05042,1,True,False,True,3.0
10,a,50,51,3.071,3.0911,wav2vec2_ctc_forced_alignment,-0.31126,1,2,0,0,True,513,23,264,311,-0.01164,0,True,True,True,3.1
11,customer,52,60,3.1513,3.5126,wav2vec2_ctc_forced_alignment,-0.31126,1,36,4,4,True,510,20,266,307,-0.00968,4,True,False,True,3.3
12,who's,61,66,3.5728,3.6932,wav2vec2_ctc_forced_alignment,-0.31126,3,12,1,1,True,515,34,259,299,-1.46603,1,True,False,True,3.6
13,never,67,72,3.8939,4.1749,wav2vec2_ctc_forced_alignment,-0.31126,1,28,3,3,True,516,21,263,307,-0.05667,3,True,False,True,4.0
14,done,73,77,4.2954,4.476,wav2vec2_ctc_forced_alignment,-0.31126,1,18,2,2,True,519,18,260,297,-0.03517,2,True,False,True,4.4
15,it,78,80,4.5362,4.5764,wav2vec2_ctc_forced_alignment,-0.31126,1,4,0,0,True,526,10,259,307,-0.00132,0,True,True,True,4.6
16,before,81,87,4.6767,5.0581,wav2vec2_ctc_forced_alignment,-0.31126,1,38,4,4,True,519,7,256,312,-0.00259,4,True,False,True,4.9
17,or,89,91,5.0782,5.1183,wav2vec2_ctc_forced_alignment,-0.31126,1,4,1,1,True,485,37,275,298,-11.28115,1,True,False,True,5.1
18,they've,92,99,5.1384,5.3391,wav2vec2_ctc_forced_alignment,-0.31126,3,20,2,2,True,495,38,259,306,-0.05397,2,True,False,True,5.2
19,never,100,105,5.4395,5.6602,wav2vec2_ctc_forced_alignment,-0.31126,1,23,2,2,True,512,31,275,303,-0.02464,2,True,False,True,5.5
20,tried,106,111,5.7405,5.9814,wav2vec2_ctc_forced_alignment,-0.31126,1,24,2,2,True,530,24,262,304,-0.00108,2,True,False,True,5.9
21,it,112,114,6.0617,6.1219,wav2vec2_ctc_forced_alignment,-0.31126,1,6,1,1,True,532,26,261,303,-0.49451,1,True,False,True,6.1
