word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,And,0,3,0.7608,0.8809,wav2vec2_ctc_forced_alignment,-0.13113,1,12,1,1,True,178,21,85,85,-0.00696,1,False,False,True,0.8
1,if,4,6,1.0411,1.0811,wav2vec2_ctc_forced_alignment,-0.13113,1,4,0,0,True,178,20,85,85,-2.14097,0,False,True,True,1.1
2,you,7,10,1.1812,1.2814,wav2vec2_ctc_forced_alignment,-0.13113,1,10,1,1,True,178,20,86,86,-0.1992,1,False,False,True,1.2
3,clip,11,15,1.4415,1.6818,wav2vec2_ctc_forced_alignment,-0.13113,1,24,2,2,True,179,25,76,83,-0.24029,2,False,False,True,1.6
4,coupons,16,23,1.7619,2.5427,wav2vec2_ctc_forced_alignment,-0.13113,2,78,8,8,True,180,25,76,83,-0.03424,8,True,False,True,2.2
5,if,25,27,2.7029,2.7429,wav2vec2_ctc_forced_alignment,-0.13113,1,4,0,0,True,179,23,76,82,-0.00072,0,True,True,True,2.7
6,you,28,31,2.803,2.9031,wav2vec2_ctc_forced_alignment,-0.13113,1,10,1,1,True,178,20,86,86,-0.0866,1,False,False,True,2.9
7,don't,32,37,3.0432,3.2835,wav2vec2_ctc_forced_alignment,-0.13113,3,24,2,2,True,179,24,76,82,-0.08617,2,True,False,True,3.2
8,go,38,40,3.3435,3.4436,wav2vec2_ctc_forced_alignment,-0.13113,1,10,1,1,True,178,20,86,86,-0.00028,1,False,False,True,3.4
9,out,41,44,3.5638,3.6639,wav2vec2_ctc_forced_alignment,-0.13113,1,10,1,1,True,179,21,75,85,-0.00224,1,True,False,True,3.6
10,for,45,48,3.744,3.8641,wav2vec2_ctc_forced_alignment,-0.13113,1,12,1,1,True,179,21,75,83,-0.01024,1,True,False,True,3.8
