word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,The,0,3,0.5005,0.5806,wav2vec2_ctc_forced_alignment,-0.56837,1,9,1,1,True,733,8,334,334,0.5
1,perfect,4,11,0.6407,0.9611,wav2vec2_ctc_forced_alignment,-0.56837,1,33,2,2,True,734,5,336,336,1.0
2,soul,12,16,1.0411,1.2213,wav2vec2_ctc_forced_alignment,-0.56837,1,19,1,1,True,734,5,336,336,1.0
3,mate,17,21,1.3214,1.5016,wav2vec2_ctc_forced_alignment,-0.56837,1,19,1,1,True,734,1,340,340,1.5
4,to,22,24,1.6018,1.6618,wav2vec2_ctc_forced_alignment,-0.56837,1,7,1,1,True,734,1,340,340,1.5
5,the,25,28,1.7219,1.782,wav2vec2_ctc_forced_alignment,-0.56837,1,7,2,2,True,734,1,334,334,2.0
6,Clarisonic,29,39,1.862,2.5027,wav2vec2_ctc_forced_alignment,-0.56837,3,65,2,2,True,734,1,334,334,2.0
7,Spot,40,44,3.0834,3.4037,wav2vec2_ctc_forced_alignment,-0.56837,1,33,2,2,True,733,6,328,328,3.0
8,Therapy,45,52,3.5639,3.9643,wav2vec2_ctc_forced_alignment,-0.56837,1,41,2,2,True,724,13,343,343,4.0
9,Brush,53,58,4.0444,4.3247,wav2vec2_ctc_forced_alignment,-0.56837,1,29,2,2,True,724,13,343,343,4.0
10,this,60,64,4.9454,5.0856,wav2vec2_ctc_forced_alignment,-0.56837,1,15,1,1,True,738,1,334,334,5.0
11,gentle,65,71,5.1857,5.5661,wav2vec2_ctc_forced_alignment,-0.56837,1,39,2,2,True,735,0,333,330,5.5
12,Ph,73,75,5.8064,6.1067,wav2vec2_ctc_forced_alignment,-0.56837,1,31,1,1,True,734,3,336,336,6.0
13,balanced,76,84,6.1868,6.6072,wav2vec2_ctc_forced_alignment,-0.56837,1,43,2,2,True,728,1,341,341,6.5
14,and,85,88,6.7474,6.8275,wav2vec2_ctc_forced_alignment,-0.56837,1,9,2,2,True,726,0,341,341,7.0
15,hydrating,89,98,6.9076,7.4682,wav2vec2_ctc_forced_alignment,-0.56837,2,57,2,2,True,726,0,341,341,7.0
16,exfoliant,99,108,7.6484,8.249,wav2vec2_ctc_forced_alignment,-0.56837,3,61,2,2,True,725,6,335,335,8.0
17,containing,109,119,8.7696,9.1901,wav2vec2_ctc_forced_alignment,-0.56837,1,43,1,1,True,734,0,333,330,9.0
18,jojoba,120,126,9.3903,9.8708,wav2vec2_ctc_forced_alignment,-0.56837,3,49,2,2,True,725,0,340,340,9.5
19,and,127,130,10.3113,10.3914,wav2vec2_ctc_forced_alignment,-0.56837,1,9,1,1,True,723,0,337,337,10.5
20,acai,131,135,10.4715,10.7718,wav2vec2_ctc_forced_alignment,-0.56837,2,31,2,2,True,723,0,337,337,10.5
21,fruit,136,141,11.1522,11.3725,wav2vec2_ctc_forced_alignment,-0.56837,1,23,2,2,True,706,17,336,336,11.5
22,oils,142,146,11.4926,11.6928,wav2vec2_ctc_forced_alignment,-0.56837,1,21,1,1,True,706,17,336,336,11.5
23,and,147,150,12.4737,12.5738,wav2vec2_ctc_forced_alignment,-0.56837,1,11,1,1,True,720,2,336,336,12.5
24,bamboo,151,157,12.7139,13.1344,wav2vec2_ctc_forced_alignment,-0.56837,1,43,2,2,True,721,7,335,335,13.0
25,and,158,161,13.5749,13.655,wav2vec2_ctc_forced_alignment,-0.56837,1,9,1,1,True,720,12,330,330,13.5
26,prickly,162,169,13.7551,14.0754,wav2vec2_ctc_forced_alignment,-0.56837,2,33,1,1,True,724,8,334,334,14.0
27,bear,170,174,14.1555,14.3758,wav2vec2_ctc_forced_alignment,-0.56837,1,23,2,2,True,720,9,345,345,14.5
28,extracts,175,183,14.6561,15.8574,wav2vec2_ctc_forced_alignment,-0.56837,1,121,4,4,True,734,0,340,340,15.5
29,deliver,184,191,15.9575,16.2979,wav2vec2_ctc_forced_alignment,-0.56837,1,35,2,2,True,729,0,335,329,16.0
30,intense,192,199,16.5181,16.8785,wav2vec2_ctc_forced_alignment,-0.56837,1,37,2,2,True,720,2,343,343,16.5
31,healing,200,207,16.9786,17.339,wav2vec2_ctc_forced_alignment,-0.56837,1,37,2,2,True,714,2,341,341,17.0
32,while,209,214,17.8396,18.0398,wav2vec2_ctc_forced_alignment,-0.56837,1,21,1,1,True,717,3,343,343,18.0
33,smooth,215,221,18.1399,18.4002,wav2vec2_ctc_forced_alignment,-0.56837,1,27,2,2,True,718,0,344,342,18.5
34,granules,222,230,18.4803,18.9408,wav2vec2_ctc_forced_alignment,-0.56837,2,47,2,2,True,718,0,344,342,18.5
35,buff,231,235,19.0809,19.2811,wav2vec2_ctc_forced_alignment,-0.56837,1,21,2,2,True,721,0,336,331,19.0
36,away,236,240,19.3812,19.6415,wav2vec2_ctc_forced_alignment,-0.56837,1,27,1,1,True,714,0,337,331,19.5
37,dead,241,245,20.1421,20.3623,wav2vec2_ctc_forced_alignment,-0.56837,1,23,2,2,True,722,2,342,342,20.5
38,dry,247,250,20.7027,20.983,wav2vec2_ctc_forced_alignment,-0.56837,1,29,2,2,True,725,10,335,335,21.0
39,skin,251,255,21.2233,21.4235,wav2vec2_ctc_forced_alignment,-0.56837,1,21,2,2,True,700,28,344,344,21.5
40,cells,256,261,21.5436,21.8239,wav2vec2_ctc_forced_alignment,-0.56837,1,29,2,2,True,700,28,344,344,21.5
