word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,If,0,2,0.6008,0.6409,wav2vec2_ctc_forced_alignment,-0.11331,1,4,0,0,True,147,92,83,89,-0.00029,0,True,True,True,0.6
1,the,3,6,0.741,0.8011,wav2vec2_ctc_forced_alignment,-0.11331,1,6,1,1,True,134,80,83,94,-0.00746,1,True,False,True,0.8
2,product,7,14,0.8612,1.2417,wav2vec2_ctc_forced_alignment,-0.11331,1,38,4,4,True,123,77,80,94,-0.00056,4,True,False,True,1.1
3,or,15,17,1.5822,1.6222,wav2vec2_ctc_forced_alignment,-0.11331,1,4,1,1,True,107,73,80,97,-0.00034,1,True,False,True,1.6
4,poison,18,24,1.7224,2.1029,wav2vec2_ctc_forced_alignment,-0.11331,1,38,4,4,True,99,71,81,97,-0.04584,4,True,False,True,1.9
5,is,25,27,2.203,2.2431,wav2vec2_ctc_forced_alignment,-0.11331,1,4,0,0,True,85,70,84,99,-0.74054,0,True,True,True,2.2
6,some,28,32,2.2832,2.4434,wav2vec2_ctc_forced_alignment,-0.11331,1,16,2,2,True,76,69,86,102,-0.12705,2,True,False,True,2.4
7,type,33,37,2.4634,2.6837,wav2vec2_ctc_forced_alignment,-0.11331,1,22,2,2,True,70,67,86,103,-0.14807,2,True,False,True,2.6
8,of,38,40,2.7438,2.7838,wav2vec2_ctc_forced_alignment,-0.11331,1,4,0,0,True,70,67,87,102,-0.00202,0,True,True,True,2.8
9,petroleum,41,50,2.884,3.3647,wav2vec2_ctc_forced_alignment,-0.11331,1,48,5,5,True,78,68,88,106,-0.25307,5,True,False,True,3.1
10,product,51,58,3.4448,3.7852,wav2vec2_ctc_forced_alignment,-0.11331,1,34,3,3,True,109,66,89,107,-0.0515,3,True,False,True,3.6
11,or,59,61,4.2258,4.2859,wav2vec2_ctc_forced_alignment,-0.11331,1,6,0,0,True,154,60,89,108,-0.22112,0,True,True,True,4.3
12,corrosive,62,71,4.366,4.8066,wav2vec2_ctc_forced_alignment,-0.11331,3,44,5,5,True,160,63,91,111,-0.05953,5,True,False,True,4.6
13,product,72,79,4.8667,5.2272,wav2vec2_ctc_forced_alignment,-0.11331,1,36,4,4,True,155,67,92,114,-0.01866,4,True,False,True,5.0
14,you,81,84,5.808,5.8881,wav2vec2_ctc_forced_alignment,-0.11331,1,8,0,0,True,116,78,87,105,-0.00086,0,True,True,True,5.8
15,would,85,90,5.9282,6.0884,wav2vec2_ctc_forced_alignment,-0.11331,1,16,1,1,True,107,71,89,107,-0.07747,1,True,False,True,6.0
16,not,91,94,6.1285,6.2887,wav2vec2_ctc_forced_alignment,-0.11331,1,16,1,1,True,104,64,86,107,-0.08309,1,True,False,True,6.2
17,attempt,95,102,6.4689,6.7894,wav2vec2_ctc_forced_alignment,-0.11331,1,32,3,3,True,101,68,86,105,-0.04404,3,True,False,True,6.6
18,to,103,105,7.1899,7.2901,wav2vec2_ctc_forced_alignment,-0.11331,1,11,1,1,True,113,70,88,110,-0.16118,1,True,False,True,7.2
19,induce,106,112,7.6305,7.931,wav2vec2_ctc_forced_alignment,-0.11331,1,30,3,3,True,141,70,94,112,-0.00428,3,True,False,True,7.8
20,vomiting,113,121,8.0111,8.3916,wav2vec2_ctc_forced_alignment,-0.11331,1,38,3,3,True,154,66,97,119,-0.16763,3,True,False,True,8.2
21,and,122,125,8.6119,8.692,wav2vec2_ctc_forced_alignment,-0.11331,1,8,0,0,True,157,62,95,117,-0.17228,0,True,True,True,8.7
22,nausea,126,132,8.7321,9.0926,wav2vec2_ctc_forced_alignment,-0.11331,1,36,3,3,True,152,62,94,111,-0.06252,3,True,False,True,8.9
23,as,134,136,9.6533,9.7134,wav2vec2_ctc_forced_alignment,-0.11331,1,6,1,1,True,122,66,90,107,-0.00223,1,True,False,True,9.7
24,as,137,139,9.7735,9.8136,wav2vec2_ctc_forced_alignment,-0.11331,1,4,1,1,True,119,68,91,104,-5.91222,1,True,False,True,9.8
25,the,140,143,9.8937,9.9538,wav2vec2_ctc_forced_alignment,-0.11331,1,6,1,1,True,116,68,92,106,-0.00999,1,True,False,True,9.9
26,product,144,151,9.9938,10.3143,wav2vec2_ctc_forced_alignment,-0.11331,1,32,4,4,True,115,67,89,107,-0.00941,4,True,False,True,10.2
27,burned,152,158,10.4344,10.6948,wav2vec2_ctc_forced_alignment,-0.11331,1,26,2,2,True,119,67,88,102,-0.02699,2,True,False,True,10.6
28,on,159,161,10.7749,10.8149,wav2vec2_ctc_forced_alignment,-0.11331,1,4,1,1,True,119,67,85,102,-0.00077,1,True,False,True,10.8
29,the,162,165,10.875,10.9351,wav2vec2_ctc_forced_alignment,-0.11331,1,6,1,1,True,118,67,85,103,-0.019,1,True,False,True,10.9
30,way,166,169,10.9752,11.0953,wav2vec2_ctc_forced_alignment,-0.11331,1,12,1,1,True,119,66,85,103,-0.00514,1,True,False,True,11.0
31,down,170,174,11.1554,11.3958,wav2vec2_ctc_forced_alignment,-0.11331,1,24,2,2,True,119,66,86,97,-4e-05,2,True,False,True,11.3
32,it,175,177,11.8163,11.8564,wav2vec2_ctc_forced_alignment,-0.11331,1,4,0,0,True,121,68,84,97,-0.00103,0,True,True,True,11.8
33,could,178,183,11.8964,12.0366,wav2vec2_ctc_forced_alignment,-0.11331,1,14,2,2,True,120,71,84,100,-0.00131,2,True,False,True,12.0
34,cause,184,189,12.0567,12.297,wav2vec2_ctc_forced_alignment,-0.11331,1,24,2,2,True,122,68,84,100,-0.00169,2,True,False,True,12.2
35,damage,190,196,12.3571,12.7176,wav2vec2_ctc_forced_alignment,-0.11331,1,36,4,4,True,127,67,83,104,-0.01358,4,True,False,True,12.5
36,and,197,200,12.7977,12.8578,wav2vec2_ctc_forced_alignment,-0.11331,1,6,1,1,True,128,67,85,103,-0.0341,1,True,False,True,12.8
37,burning,201,208,12.8978,13.2183,wav2vec2_ctc_forced_alignment,-0.11331,1,32,4,4,True,127,62,89,108,-0.01202,4,True,False,True,13.1
38,on,209,211,13.4786,13.5187,wav2vec2_ctc_forced_alignment,-0.11331,1,4,1,1,True,128,67,92,110,-0.00144,1,True,False,True,13.5
39,the,212,215,13.5788,13.6389,wav2vec2_ctc_forced_alignment,-0.11331,1,6,1,1,True,127,68,93,114,-0.01118,1,True,False,True,13.6
40,way,216,219,13.6789,13.779,wav2vec2_ctc_forced_alignment,-0.11331,1,10,1,1,True,126,69,94,113,-0.14888,1,True,False,True,13.7
41,back,220,224,13.8391,13.9994,wav2vec2_ctc_forced_alignment,-0.11331,1,16,1,1,True,127,66,96,114,-7e-05,1,True,False,True,13.9
42,up,225,227,14.1395,14.1996,wav2vec2_ctc_forced_alignment,-0.11331,1,6,0,0,True,131,66,95,108,-0.00068,0,True,True,True,14.2
